Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.650000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.150000
-range_max: 600.000000
-range_min: -600.000000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 2000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-214.748367;645378.687500;-1743683.250000;-759676.187500;-587986.000000;-426646.875000;-876.317261
2000;-214.748367;578.444946;-14969.686523;-169.347824;-95.483643;-56.751347;-1.366917
4000;-121.780212;565.002625;-13181.716797;-33.960045;-21.468266;-13.015720;-0.000713
6000;-118.520370;562.354065;-13181.992188;-18.502768;-11.158115;-6.274048;-0.000008
8000;-118.150360;561.418396;-12784.757813;-12.500755;-7.222336;-4.021118;-0.000000
10000;-118.028214;561.050598;-12229.081055;-9.493816;-5.395500;-2.685204;-0.000000
12000;-117.972260;560.604980;-11704.686523;-7.363617;-4.243126;-2.063797;-0.000000
14000;-117.403496;558.798767;-13424.435547;-6.136093;-3.336922;-1.769630;-0.000000
16000;-117.772827;560.463135;-12247.010742;-5.277893;-2.805496;-1.275963;-0.000000
18000;-117.612976;559.472046;-13133.423828;-4.824127;-2.292061;-1.107342;-0.000000
20000;-117.746803;559.982666;-15700.139648;-4.079739;-2.077271;-1.037075;-0.000000
22000;-117.636559;559.547974;-14151.694336;-3.609432;-2.000473;-1.008362;-0.000000
24000;-117.732162;559.731323;-12411.642578;-3.152569;-1.989922;-0.998154;-0.000000
26000;-117.523956;559.025269;-11815.982422;-2.987617;-1.571079;-0.995338;-0.000000
28000;-117.796249;560.141846;-12190.847656;-2.622616;-1.333496;-0.994965;-0.000000
30000;-117.342117;558.746582;-13205.183594;-2.364204;-1.205879;-0.871296;-0.000000
32000;-117.813072;560.168945;-13202.123047;-2.202721;-1.129391;-0.519989;-0.000000
34000;-117.634583;559.578430;-13172.322266;-2.105324;-1.079514;-0.337429;-0.000000
36000;-117.439529;558.969849;-13534.239258;-2.045300;-1.047329;-0.229000;-0.000000
38000;-117.472641;558.379395;-11830.027344;-2.012115;-1.027180;-0.161873;-0.000000
40000;-117.549942;559.419617;-12117.018555;-1.996342;-1.014275;-0.119743;-0.000000
42000;-117.613312;559.351440;-12731.381836;-1.990635;-1.006527;-0.091019;-0.000000
44000;-117.556915;559.425232;-12111.061523;-1.989922;-1.001179;-0.069889;-0.000000
46000;-117.845757;559.857483;-12136.711914;-1.762440;-0.997940;-0.053780;-0.000000
48000;-117.675224;559.092590;-12616.538086;-1.542603;-0.996136;-0.042759;-0.000000
50000;-117.506302;559.348572;-12172.659180;-1.405308;-0.995316;-0.033913;-0.000000
52000;-117.656982;559.585876;-12626.221680;-1.307945;-0.995018;-0.027275;-0.000000
54000;-117.393051;558.623535;-13701.796875;-1.240295;-0.994965;-0.021980;-0.000000
56000;-117.639824;559.846252;-12338.765625;-1.183060;-0.994961;-0.017986;-0.000000
58000;-117.884201;560.469360;-13058.535156;-1.146141;-0.985764;-0.014877;-0.000000
60000;-117.807373;559.883606;-11976.483398;-1.114620;-0.675949;-0.012516;-0.000000
62000;-117.857552;560.360107;-13439.845703;-1.089439;-0.495041;-0.010418;-0.000000
64000;-117.485443;559.421204;-12488.145508;-1.070583;-0.389301;-0.008965;-0.000000
66000;-117.699966;559.684021;-13923.535156;-1.055504;-0.315056;-0.007645;-0.000000
68000;-117.507126;559.122437;-12362.278320;-1.042751;-0.254688;-0.006462;-0.000000
70000;-117.319115;558.411011;-12518.148438;-1.032478;-0.213600;-0.005482;-0.000000
72000;-117.616547;559.275696;-13443.131836;-1.023743;-0.179710;-0.004753;-0.000000
74000;-117.783005;560.263428;-13399.580078;-1.017151;-0.154331;-0.004047;-0.000000
76000;-117.884491;560.583923;-11953.517578;-1.011909;-0.132851;-0.003494;-0.000000
78000;-117.601982;559.398438;-12087.282227;-1.007870;-0.115147;-0.003059;-0.000000
80000;-117.630852;559.950562;-14063.143555;-1.004391;-0.100113;-0.002644;-0.000000
82000;-117.484276;559.301453;-14485.166992;-1.001572;-0.088554;-0.002312;-0.000000
84000;-117.485641;559.363098;-12974.650391;-0.999516;-0.078609;-0.002014;-0.000000
86000;-117.681908;559.843811;-13016.044922;-0.997871;-0.070030;-0.001770;-0.000000
88000;-117.337318;558.536255;-13704.430664;-0.996662;-0.062515;-0.001560;-0.000000
90000;-117.517220;559.391724;-12574.701172;-0.995914;-0.056416;-0.001389;-0.000000
92000;-117.394737;558.695251;-12464.507813;-0.995449;-0.050743;-0.001232;-0.000000
94000;-117.617805;559.416748;-13390.845703;-0.995152;-0.046204;-0.001106;-0.000000
96000;-117.643158;559.567078;-12949.898438;-0.995010;-0.042252;-0.000999;-0.000000
98000;-117.513832;559.125793;-12042.363281;-0.994972;-0.038605;-0.000908;-0.000000
100000;-117.407425;559.103088;-12510.325195;-0.994965;-0.035332;-0.000813;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;16590.941406;59425044.000000;49834272.000000;57771888.000000;59387648.000000;61007376.000000;70176280.000000
2000;12244.726563;5940.207520;0.000000;7983.513672;11614.583984;15764.775391;106567.484375
4000;11600.214844;5620.985840;0.000000;7504.731934;11009.848633;15069.929688;43590.437500
6000;11569.198242;5614.067383;0.000000;7491.767578;10991.334961;15012.597656;42049.890625
8000;11559.791016;5618.018555;0.000000;7466.025879;10977.798828;15030.150391;48745.042969
10000;11561.326172;5597.847656;0.000000;7481.123047;10986.125000;15024.648438;48552.492188
12000;11563.712891;5604.687012;0.000000;7487.645508;10994.185547;15012.752930;43744.648438
14000;11510.916016;5576.559082;0.000000;7451.318359;10938.131836;14930.516602;45552.113281
16000;11553.581055;5598.291016;0.000000;7452.943359;10995.367188;14986.580078;41963.753906
18000;11538.258789;5594.473145;0.000000;7454.821289;10956.337891;15034.242188;43614.480469
20000;11554.941406;5605.326660;0.000000;7499.990234;10986.121094;15006.871094;45023.117188
22000;11544.980469;5603.864746;0.000000;7454.258789;10964.145508;14994.271484;44412.636719
24000;11554.966797;5603.801758;0.000000;7470.115234;10973.728516;15010.145508;44018.156250
26000;11536.825195;5589.140137;0.000000;7467.670898;10958.960938;14963.712891;45084.824219
28000;11566.595703;5622.661133;0.000000;7464.029785;10993.001953;15016.351563;47352.023438
30000;11519.015625;5576.765625;0.000000;7457.457520;10955.288086;14926.867188;52145.984375
32000;11569.333984;5582.198242;0.000000;7529.602539;10990.972656;14974.603516;42145.250000
34000;11551.768555;5594.473145;0.000000;7477.115234;10986.321289;15016.156250;46631.347656
36000;11532.036133;5582.377441;0.000000;7459.251953;10962.423828;14973.933594;43123.203125
38000;11535.917969;5590.847168;0.000000;7457.649414;10963.898438;14987.574219;45505.054688
40000;11543.448242;5609.858887;0.000000;7462.309570;10972.046875;14986.465820;46294.171875
42000;11551.261719;5581.645996;0.000000;7482.707031;10975.078125;14979.863281;42991.074219
44000;11544.938477;5585.099609;0.000000;7460.592773;10972.485352;14988.378906;46456.738281
