Chromosome Length: 80
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.800000
Elitism Rate: 0.150000
Recombination Rate: 0.500000
Additional Parameters:
-gene_mutation_rate: 0.050000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 200
Evaluations: 10000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-38.606209;4.599653;-63.000000;-43.000000;-40.000000;-37.000000;-16.000000
200;-33.997421;3.539407;-55.000000;-36.000000;-34.000000;-31.000000;-15.000000
400;-32.132366;5.559289;-48.000000;-30.000000;-27.000000;-25.000000;-11.000000
600;-20.870653;3.686836;-42.000000;-25.000000;-23.000000;-21.000000;-8.000000
800;-17.722250;2.910072;-39.000000;-20.000000;-18.000000;-17.000000;-6.000000
1000;-16.436102;3.081451;-33.000000;-16.000000;-15.000000;-13.000000;-3.000000
1200;-11.466328;2.719877;-30.000000;-14.000000;-12.000000;-10.000000;-1.000000
1400;-9.315722;2.348565;-26.000000;-11.000000;-9.000000;-8.000000;0.000000
1600;-7.610717;2.295711;-25.000000;-8.000000;-7.000000;-6.000000;0.000000
1800;-5.283026;2.152908;-23.000000;-7.000000;-5.000000;-4.000000;0.000000
2000;-3.773620;2.150433;-21.000000;-5.000000;-4.000000;-3.000000;0.000000
2200;-2.933643;2.018962;-20.000000;-4.000000;-3.000000;-2.000000;0.000000
2400;-1.891250;1.952125;-19.000000;-3.000000;-2.000000;-1.000000;0.000000
2600;-1.677722;1.807465;-19.000000;-2.000000;-1.000000;0.000000;0.000000
2800;-1.474860;1.782830;-18.000000;-2.000000;-1.000000;0.000000;0.000000
3000;-1.316471;1.816987;-20.000000;-2.000000;-1.000000;0.000000;0.000000
3200;-1.207285;1.831787;-19.000000;-1.000000;-1.000000;0.000000;0.000000
3400;-1.123310;1.831787;-18.000000;-1.000000;0.000000;0.000000;0.000000
3600;-1.055283;1.831787;-18.000000;-1.000000;0.000000;0.000000;0.000000
3800;-0.998595;1.591034;-17.000000;-1.000000;0.000000;0.000000;0.000000
4000;-0.952641;1.574539;-17.000000;-1.000000;0.000000;0.000000;0.000000
4200;-0.911187;1.565771;-18.000000;-1.000000;0.000000;0.000000;0.000000
4400;-0.877582;1.553959;-18.000000;-1.000000;0.000000;0.000000;0.000000
4600;-0.844454;1.553137;-17.000000;-1.000000;0.000000;0.000000;0.000000
4800;-0.819906;1.546263;-17.000000;-1.000000;0.000000;0.000000;0.000000
5000;-0.797283;1.543403;-17.000000;-1.000000;0.000000;0.000000;0.000000
5200;-0.778431;1.537200;-17.000000;-1.000000;0.000000;0.000000;0.000000
5400;-0.761762;1.552709;-19.000000;-1.000000;0.000000;0.000000;0.000000
5600;-0.746067;1.550476;-17.000000;0.000000;0.000000;0.000000;0.000000
5800;-0.735209;1.548592;-16.000000;0.000000;0.000000;0.000000;0.000000
6000;-0.724934;1.546688;-16.000000;0.000000;0.000000;0.000000;0.000000
6200;-0.714377;1.541150;-17.000000;0.000000;0.000000;0.000000;0.000000
6400;-0.707299;1.539925;-16.000000;0.000000;0.000000;0.000000;0.000000
6600;-0.700648;1.538150;-17.000000;0.000000;0.000000;0.000000;0.000000
6800;-0.694640;1.542538;-17.000000;0.000000;0.000000;0.000000;0.000000
7000;-0.688446;1.540023;-17.000000;0.000000;0.000000;0.000000;0.000000
7200;-0.685078;1.540195;-16.000000;0.000000;0.000000;0.000000;0.000000
7400;-0.680552;1.557632;-17.000000;0.000000;0.000000;0.000000;0.000000
7600;-0.677078;1.556409;-18.000000;0.000000;0.000000;0.000000;0.000000
