Chromosome Length: 80
Population Size: 200
Mutation Probability: 0.150000
Crossover Probability: 0.800000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-gene_mutation_rate: 0.050000
-tournament_size: 4.000000

Test Size: 100000
Snapshot Period: 200
Evaluations: 10000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-43.202827; 5.410840; -66.000000; -43.000000; -40.000000; -37.000000; -17.000000
200;-43.202827; 5.410840; -66.000000; -43.000000; -40.000000; -37.000000; -17.000000
400;-26.843546; 5.187516; -50.000000; -33.000000; -31.000000; -30.000000; -13.000000
600;-26.843546; 3.234811; -48.000000; -30.000000; -28.000000; -27.000000; -11.000000
800;-26.843546; 4.274230; -43.000000; -25.000000; -23.000000; -22.000000; -8.000000
1000;-22.056288; 2.690145; -39.000000; -23.000000; -21.000000; -19.000000; -6.000000
1200;-15.879273; 3.674228; -38.000000; -20.000000; -19.000000; -17.000000; -4.000000
1400;-13.421773; 2.864099; -32.000000; -17.000000; -15.000000; -14.000000; -4.000000
1600;-13.421773; 2.254893; -31.000000; -15.000000; -14.000000; -12.000000; -2.000000
1800;-13.421773; 2.915791; -28.000000; -13.000000; -11.000000; -10.000000; -1.000000
2000;-6.710886; 3.475481; -27.000000; -11.000000; -9.000000; -8.000000; 0.000000
2200;-6.710886; 2.602859; -27.000000; -9.000000; -8.000000; -7.000000; 0.000000
2400;-6.710886; 2.134640; -24.000000; -8.000000; -6.000000; -5.000000; 0.000000
2600;-5.610314; 2.096498; -24.000000; -6.000000; -5.000000; -4.000000; 0.000000
2800;-3.355443; 2.241361; -21.000000; -5.000000; -4.000000; -3.000000; 0.000000
3000;-3.118318; 1.936323; -22.000000; -4.000000; -3.000000; -2.000000; 0.000000
3200;-2.283789; 1.925455; -19.000000; -4.000000; -2.000000; -2.000000; 0.000000
3400;-1.677722; 1.831787; -19.000000; -3.000000; -2.000000; -1.000000; 0.000000
3600;-1.403661; 1.733128; -19.000000; -2.000000; -1.000000; -1.000000; 0.000000
3800;-1.113022; 1.691634; -17.000000; -2.000000; -1.000000; 0.000000; 0.000000
4000;-0.928860; 1.625931; -18.000000; -2.000000; -1.000000; 0.000000; 0.000000
4200;-0.839973; 1.591102; -18.000000; -1.000000; -1.000000; 0.000000; 0.000000
4400;-0.838861; 1.562402; -19.000000; -1.000000; 0.000000; 0.000000; 0.000000
4600;-0.838861; 1.539762; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
4800;-0.838861; 1.525044; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
5000;-0.838861; 1.511234; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
5200;-0.838861; 1.499741; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
5400;-0.838861; 1.490020; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
5600;-0.834091; 1.522669; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
5800;-0.809383; 1.513442; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
6000;-0.790664; 1.522234; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
6200;-0.770548; 1.516220; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
6400;-0.754097; 1.523269; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
6600;-0.738623; 1.517132; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
6800;-0.725155; 1.512750; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
7000;-0.713145; 1.510595; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7200;-0.703313; 1.507751; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7400;-0.693797; 1.505736; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7600;-0.685130; 1.502394; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
7800;-0.676224; 1.499120; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
8000;-0.668090; 1.494866; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
8200;-0.663345; 1.494949; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
8400;-0.656270; 1.491524; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
8600;-0.651058; 1.489339; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
8800;-0.646812; 1.488760; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9000;-0.642154; 1.486550; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9200;-0.638690; 1.500169; -19.000000; 0.000000; 0.000000; 0.000000; 0.000000
9400;-0.635369; 1.502013; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9600;-0.631387; 1.500442; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9800;-0.629073; 1.500068; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
10000;-0.626222; 1.498340; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
