Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.800000
Elitism Rate: 0.050000
Recombination Rate: 0.200000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.100000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-85.658134;23.750902;-198.617432;-108.067032;-92.350731;-76.874588;-4.001961
1000;-31.050304;18.208799;-161.330978;-43.470749;-29.268080;-16.230783;-0.023209
2000;-12.078270;13.028607;-123.241608;-19.735538;-6.710491;-2.503391;-0.000168
3000;-8.191226;11.450313;-110.297005;-14.172192;-3.343266;-0.409805;-0.000019
4000;-7.045974;10.362151;-103.900528;-11.782776;-2.382664;-0.073875;-0.000000
5000;-6.710886;10.362151;-109.956543;-11.232044;-2.062149;-0.024803;-0.000000
6000;-6.710886;10.362151;-107.603943;-10.983366;-2.000057;-0.012100;-0.000000
7000;-6.710886;10.362151;-103.924957;-10.282715;-1.987007;-0.004578;-0.000000
8000;-6.216095;10.362151;-106.582123;-8.552677;-1.037266;-0.000320;-0.000000
9000;-5.258977;8.603022;-108.572159;-5.385807;-0.188007;-0.000011;-0.000000
10000;-4.146820;7.995735;-101.824341;-3.442627;-0.000359;-0.000004;-0.000000
11000;-3.185697;7.221154;-98.302757;-2.128147;-0.000008;-0.000000;-0.000000
12000;-2.464153;6.436162;-100.980103;-1.989918;-0.000008;-0.000000;-0.000000
13000;-1.998473;5.757458;-96.380234;-0.994987;-0.000004;-0.000000;-0.000000
14000;-1.720166;5.189141;-95.686707;-0.994961;-0.000004;-0.000000;-0.000000
15000;-1.518158;4.697341;-97.733482;-0.994957;-0.000004;-0.000000;-0.000000
16000;-1.350956;4.303551;-97.134903;-0.333889;-0.000004;-0.000000;-0.000000
17000;-1.217884;3.929007;-99.391289;-0.025452;-0.000004;-0.000000;-0.000000
18000;-1.123065;3.696321;-92.122787;-0.000347;-0.000004;-0.000000;-0.000000
19000;-1.047691;3.441566;-93.602905;-0.000046;-0.000004;-0.000000;-0.000000
20000;-0.986216;3.234427;-100.538406;-0.000034;-0.000004;-0.000000;-0.000000
21000;-0.939850;3.118945;-92.496689;-0.000031;-0.000004;-0.000000;-0.000000
22000;-0.905487;2.986651;-90.651176;-0.000027;-0.000004;-0.000000;-0.000000
23000;-0.875802;2.868757;-92.642731;-0.000023;-0.000004;-0.000000;-0.000000
24000;-0.854955;2.778067;-89.624992;-0.000023;-0.000004;-0.000000;-0.000000
25000;-0.836034;2.699716;-81.323196;-0.000023;-0.000004;-0.000000;-0.000000
26000;-0.824018;2.620796;-84.672699;-0.000023;-0.000004;-0.000000;-0.000000
27000;-0.813608;2.584177;-82.488747;-0.000023;-0.000004;-0.000000;-0.000000
28000;-0.807088;2.555265;-80.769165;-0.000023;-0.000004;-0.000000;-0.000000
29000;-0.801603;2.530251;-80.107063;-0.000023;-0.000004;-0.000000;-0.000000
30000;-0.796658;2.504233;-77.928612;-0.000023;-0.000004;-0.000000;-0.000000
31000;-0.792843;2.487415;-80.710068;-0.000023;-0.000004;-0.000000;-0.000000
32000;-0.790502;2.477608;-85.850235;-0.000023;-0.000004;-0.000000;-0.000000
33000;-0.788513;2.470262;-78.256264;-0.000023;-0.000004;-0.000000;-0.000000
34000;-0.786275;2.459803;-78.544746;-0.000023;-0.000004;-0.000000;-0.000000
35000;-0.785669;2.455908;-78.526276;-0.000023;-0.000004;-0.000000;-0.000000
36000;-0.784842;2.456193;-83.859535;-0.000019;-0.000004;-0.000000;-0.000000
37000;-0.783868;2.447266;-94.859116;-0.000019;-0.000004;-0.000000;-0.000000
38000;-0.783885;2.450439;-100.104095;-0.000019;-0.000004;-0.000000;-0.000000
39000;-0.783531;2.449715;-80.275909;-0.000019;-0.000004;-0.000000;-0.000000
40000;-0.782450;2.443819;-77.722656;-0.000019;-0.000004;-0.000000;-0.000000
41000;-0.780782;2.435537;-81.457504;-0.000019;-0.000004;-0.000000;-0.000000
42000;-0.780545;2.434474;-80.735123;-0.000019;-0.000004;-0.000000;-0.000000
43000;-0.780696;2.435323;-86.507141;-0.000019;-0.000004;-0.000000;-0.000000
44000;-0.781675;2.443056;-75.066460;-0.000019;-0.000004;-0.000000;-0.000000
