Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.650000
Elitism Rate: 0.050000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.150000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.100000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-85.660278;23.754726;-201.015152;-108.074066;-92.358704;-76.889847;-4.381432
1000;-21.518076;16.244143;-135.151123;-28.051552;-15.271061;-9.799000;-0.071461
2000;-6.710886;7.388557;-108.746399;-7.784945;-4.780098;-3.191484;-0.003101
3000;-5.409687;6.832367;-100.403961;-5.157551;-2.942219;-1.800396;-0.000626
4000;-3.547702;6.134073;-104.675186;-3.174761;-1.789028;-1.056717;-0.000103
5000;-3.011760;5.522898;-98.899155;-2.062153;-1.067425;-0.188690;-0.000008
6000;-2.242842;5.208219;-96.125275;-1.123791;-0.237804;-0.051613;-0.000000
7000;-1.639993;5.012578;-90.026505;-0.999664;-0.068722;-0.019299;-0.000000
8000;-1.403938;4.862877;-91.841782;-0.123486;-0.030216;-0.008865;-0.000000
9000;-1.286100;4.781675;-87.131500;-0.057358;-0.016335;-0.004650;-0.000000
10000;-1.229873;4.744951;-80.857147;-0.033569;-0.009796;-0.002731;-0.000000
11000;-1.206111;4.723272;-93.988213;-0.022095;-0.006447;-0.001736;-0.000000
12000;-1.195746;4.714346;-90.882248;-0.015549;-0.004421;-0.001171;-0.000000
13000;-1.188977;4.708857;-86.913452;-0.011444;-0.003181;-0.000809;-0.000000
14000;-1.188055;4.711347;-95.525742;-0.008652;-0.002361;-0.000572;-0.000000
15000;-1.188237;4.710925;-85.686562;-0.006691;-0.001801;-0.000420;-0.000000
16000;-1.190052;4.719599;-81.610283;-0.005291;-0.001389;-0.000313;-0.000000
17000;-1.189578;4.715404;-93.285675;-0.004227;-0.001095;-0.000240;-0.000000
18000;-1.188665;4.714911;-90.594406;-0.003441;-0.000870;-0.000187;-0.000000
19000;-1.189204;4.719614;-95.485565;-0.002819;-0.000702;-0.000145;-0.000000
20000;-1.184229;4.704318;-89.926819;-0.002346;-0.000572;-0.000114;-0.000000
21000;-1.187554;4.711260;-85.533455;-0.001972;-0.000473;-0.000092;-0.000000
22000;-1.189250;4.717100;-87.191612;-0.001663;-0.000393;-0.000076;-0.000000
23000;-1.187856;4.711339;-96.609451;-0.001415;-0.000328;-0.000061;-0.000000
24000;-1.188438;4.718742;-91.949928;-0.001221;-0.000275;-0.000050;-0.000000
25000;-1.187341;4.714609;-94.167679;-0.001053;-0.000237;-0.000042;-0.000000
26000;-1.189003;4.712303;-85.336853;-0.000916;-0.000202;-0.000034;-0.000000
27000;-1.187039;4.709151;-92.547485;-0.000801;-0.000175;-0.000031;-0.000000
28000;-1.186023;4.706686;-88.989685;-0.000702;-0.000153;-0.000027;-0.000000
29000;-1.187806;4.713349;-87.375992;-0.000618;-0.000130;-0.000023;-0.000000
30000;-1.188826;4.714919;-94.997055;-0.000546;-0.000114;-0.000019;-0.000000
31000;-1.186710;4.714813;-80.402168;-0.000488;-0.000099;-0.000015;-0.000000
32000;-1.188987;4.715133;-85.888657;-0.000435;-0.000092;-0.000015;-0.000000
33000;-1.190855;4.720865;-89.791817;-0.000393;-0.000080;-0.000011;-0.000000
34000;-1.191980;4.719674;-88.015045;-0.000351;-0.000069;-0.000011;-0.000000
35000;-1.191876;4.721574;-86.629745;-0.000317;-0.000061;-0.000008;-0.000000
36000;-1.186559;4.711534;-92.548203;-0.000286;-0.000057;-0.000008;-0.000000
37000;-1.189680;4.715929;-89.314888;-0.000259;-0.000050;-0.000008;-0.000000
38000;-1.188734;4.713783;-89.873764;-0.000237;-0.000046;-0.000008;-0.000000
39000;-1.190872;4.720249;-89.651611;-0.000221;-0.000042;-0.000008;-0.000000
40000;-1.187644;4.712427;-96.258148;-0.000198;-0.000038;-0.000008;-0.000000
41000;-1.184660;4.708673;-79.127258;-0.000183;-0.000034;-0.000004;-0.000000
42000;-1.188573;4.714314;-88.687637;-0.000168;-0.000031;-0.000004;-0.000000
43000;-1.186843;4.711023;-87.941284;-0.000156;-0.000031;-0.000004;-0.000000
44000;-1.189601;4.717023;-83.489166;-0.000145;-0.000027;-0.000004;-0.000000
45000;-1.190785;4.718287;-84.297157;-0.000130;-0.000023;-0.000004;-0.000000
46000;-1.190528;4.719395;-95.833511;-0.000122;-0.000023;-0.000004;-0.000000
47000;-1.184760;4.705698;-88.103180;-0.000114;-0.000023;-0.000004;-0.000000
48000;-1.189384;4.716176;-89.819679;-0.000107;-0.000019;-0.000004;-0.000000
49000;-1.190472;4.718535;-94.811356;-0.000099;-0.000015;-0.000000;-0.000000
50000;-1.185248;4.703663;-94.411102;-0.000092;-0.000015;-0.000000;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;4325.447266;175.184952;3603.412354;4206.460938;4324.737305;4443.405273;5063.794922
1000;124.795372;115.369804;0.220145;29.921986;94.878830;187.368866;1076.004883
2000;18.118099;22.581566;0.000832;5.510880;13.794348;25.238213;829.861328
3000;15.036530;13.080004;0.000000;4.742991;11.406298;24.118929;244.435440
