Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.150000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.100000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-42.674824;17.422102;-127.306541;-55.322815;-42.812855;-31.067219;-0.079664
1000;-0.020203;0.277645;-6.747036;-0.200173;-0.099026;-0.046798;-0.000045
2000;-0.010686;0.187695;-5.309180;-0.024339;-0.011750;-0.005375;-0.000002
3000;-0.009779;0.184191;-5.155442;-0.006896;-0.003178;-0.001406;-0.000002
4000;-0.009571;0.183556;-5.186403;-0.002669;-0.001165;-0.000486;-0.000000
5000;-0.009559;0.183571;-4.793902;-0.001263;-0.000516;-0.000202;-0.000000
6000;-0.009489;0.183441;-5.461275;-0.000674;-0.000260;-0.000095;-0.000000
7000;-0.009500;0.183357;-4.997988;-0.000391;-0.000144;-0.000050;-0.000000
8000;-0.009415;0.183083;-4.974931;-0.000246;-0.000086;-0.000028;-0.000000
9000;-0.009513;0.183101;-5.210228;-0.000162;-0.000055;-0.000016;-0.000000
10000;-0.009511;0.183226;-5.823013;-0.000112;-0.000036;-0.000010;-0.000000
11000;-0.009480;0.183109;-5.387637;-0.000080;-0.000025;-0.000007;-0.000000
12000;-0.009492;0.183224;-5.893552;-0.000059;-0.000017;-0.000004;-0.000000
13000;-0.009533;0.183440;-5.201267;-0.000044;-0.000013;-0.000003;-0.000000
14000;-0.009502;0.183156;-4.576149;-0.000034;-0.000010;-0.000002;-0.000000
15000;-0.009511;0.183205;-5.432025;-0.000027;-0.000007;-0.000002;-0.000000
16000;-0.009474;0.183356;-4.486763;-0.000021;-0.000006;-0.000001;-0.000000
17000;-0.009492;0.183172;-4.556002;-0.000017;-0.000004;-0.000001;-0.000000
18000;-0.009535;0.183433;-6.030131;-0.000014;-0.000004;-0.000001;-0.000000
19000;-0.009471;0.183244;-5.850566;-0.000012;-0.000003;-0.000001;-0.000000
20000;-0.009456;0.182951;-5.238366;-0.000010;-0.000002;-0.000000;-0.000000
21000;-0.009489;0.183210;-4.853690;-0.000008;-0.000002;-0.000000;-0.000000
22000;-0.009530;0.183412;-5.067905;-0.000007;-0.000002;-0.000000;-0.000000
23000;-0.009493;0.183201;-5.332326;-0.000006;-0.000001;-0.000000;-0.000000
24000;-0.009484;0.183186;-4.989815;-0.000005;-0.000001;-0.000000;-0.000000
25000;-0.009475;0.183183;-7.086923;-0.000005;-0.000001;-0.000000;-0.000000
26000;-0.009485;0.183260;-5.297447;-0.000004;-0.000001;-0.000000;-0.000000
27000;-0.009478;0.183307;-4.562462;-0.000003;-0.000001;-0.000000;-0.000000
28000;-0.009510;0.183323;-4.775757;-0.000003;-0.000001;-0.000000;-0.000000
29000;-0.009513;0.183284;-5.269527;-0.000003;-0.000001;-0.000000;-0.000000
30000;-0.009509;0.183154;-6.079326;-0.000002;-0.000000;-0.000000;-0.000000
31000;-0.009465;0.183252;-5.267268;-0.000002;-0.000000;-0.000000;-0.000000
32000;-0.009489;0.183237;-4.775438;-0.000002;-0.000000;-0.000000;-0.000000
33000;-0.009486;0.183239;-5.083297;-0.000002;-0.000000;-0.000000;-0.000000
34000;-0.009462;0.183110;-5.059721;-0.000002;-0.000000;-0.000000;-0.000000
35000;-0.009504;0.183241;-4.622833;-0.000001;-0.000000;-0.000000;-0.000000
36000;-0.009487;0.183319;-5.143886;-0.000001;-0.000000;-0.000000;-0.000000
37000;-0.009528;0.183526;-4.914922;-0.000001;-0.000000;-0.000000;-0.000000
38000;-0.009554;0.183603;-4.442640;-0.000001;-0.000000;-0.000000;-0.000000
39000;-0.009521;0.183441;-6.549242;-0.000001;-0.000000;-0.000000;-0.000000
40000;-0.009551;0.183564;-4.531404;-0.000001;-0.000000;-0.000000;-0.000000
41000;-0.009453;0.183034;-5.171136;-0.000001;-0.000000;-0.000000;-0.000000
42000;-0.009487;0.183269;-5.069293;-0.000001;-0.000000;-0.000000;-0.000000
43000;-0.009460;0.182914;-4.168967;-0.000001;-0.000000;-0.000000;-0.000000
44000;-0.009495;0.183199;-4.800682;-0.000001;-0.000000;-0.000000;-0.000000
45000;-0.009504;0.183278;-7.282430;-0.000001;-0.000000;-0.000000;-0.000000
46000;-0.009481;0.183310;-5.552383;-0.000001;-0.000000;-0.000000;-0.000000
47000;-0.009451;0.183176;-4.683882;-0.000001;-0.000000;-0.000000;-0.000000
48000;-0.009523;0.183512;-4.405811;-0.000000;-0.000000;-0.000000;-0.000000
49000;-0.009503;0.183274;-4.587772;-0.000000;-0.000000;-0.000000;-0.000000
50000;-0.009461;0.183169;-5.506078;-0.000000;-0.000000;-0.000000;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;4324.956543;174.941223;3566.837158;4207.197266;4324.058594;4442.079102;5136.435547
1000;6.796090;3.927811;0.180094;4.684188;6.455817;8.878148;46.032761
2000;3.753180;1.881988;0.000050;2.943691;4.075027;5.368661;15.543627
3000;3.624510;1.851215;0.000129;2.831334;3.952895;5.227359;14.645658
4000;3.606000;1.862091;0.000000;2.805623;3.934214;5.203058;15.256828
5000;3.615160;1.866699;0.000000;2.809618;3.935759;5.227662;15.693951
