Chromosome Length: 80
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.800000
Elitism Rate: 0.150000
Recombination Rate: 0.500000
Additional Parameters:
-gene_mutation_rate: 0.050000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 200
Evaluations: 10000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-38.612244; 4.599335; -63.000000; -43.000000; -40.000000; -37.000000; -16.000000
200;-34.000519; 3.674149; -54.000000; -36.000000; -34.000000; -31.000000; -14.000000
400;-32.132416; 5.559022; -48.000000; -30.000000; -27.000000; -25.000000; -11.000000
600;-20.871613; 3.689954; -43.000000; -25.000000; -23.000000; -21.000000; -8.000000
800;-17.726057; 2.909991; -39.000000; -20.000000; -18.000000; -17.000000; -5.000000
1000;-16.440121; 3.079492; -33.000000; -17.000000; -15.000000; -13.000000; -3.000000
1200;-11.484598; 2.742725; -33.000000; -14.000000; -12.000000; -10.000000; -1.000000
1400;-9.320601; 2.355757; -27.000000; -11.000000; -9.000000; -8.000000; 0.000000
1600;-7.632552; 2.292120; -26.000000; -8.000000; -7.000000; -6.000000; 0.000000
1800;-5.291080; 2.149658; -22.000000; -7.000000; -5.000000; -4.000000; 0.000000
2000;-3.783178; 2.149852; -20.000000; -5.000000; -4.000000; -3.000000; 0.000000
2200;-2.942830; 2.018007; -20.000000; -4.000000; -3.000000; -2.000000; 0.000000
2400;-1.896877; 1.952510; -19.000000; -3.000000; -2.000000; -1.000000; 0.000000
2600;-1.677722; 1.807406; -18.000000; -2.000000; -1.000000; 0.000000; 0.000000
2800;-1.474872; 1.781550; -19.000000; -2.000000; -1.000000; 0.000000; 0.000000
3000;-1.314856; 1.815642; -17.000000; -2.000000; -1.000000; 0.000000; 0.000000
3200;-1.205481; 1.831787; -18.000000; -1.000000; -1.000000; 0.000000; 0.000000
3400;-1.122935; 1.831787; -19.000000; -1.000000; 0.000000; 0.000000; 0.000000
3600;-1.055252; 1.831787; -19.000000; -1.000000; 0.000000; 0.000000; 0.000000
3800;-0.998341; 1.590952; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
4000;-0.949954; 1.576874; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
4200;-0.909640; 1.565592; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
4400;-0.873587; 1.560900; -16.000000; -1.000000; 0.000000; 0.000000; 0.000000
4600;-0.843787; 1.554872; -19.000000; -1.000000; 0.000000; 0.000000; 0.000000
4800;-0.817786; 1.544981; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
5000;-0.796710; 1.543657; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
5200;-0.777049; 1.535982; -18.000000; -1.000000; 0.000000; 0.000000; 0.000000
5400;-0.759851; 1.551454; -17.000000; -1.000000; 0.000000; 0.000000; 0.000000
5600;-0.747137; 1.553163; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
5800;-0.733277; 1.547852; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
6000;-0.723905; 1.545479; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
6200;-0.714455; 1.542348; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
6400;-0.706939; 1.540590; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
6600;-0.699853; 1.538313; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
6800;-0.693493; 1.542165; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
7000;-0.688575; 1.540329; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7200;-0.684673; 1.539722; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7400;-0.680125; 1.557092; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
7600;-0.678228; 1.557897; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
7800;-0.673500; 1.554422; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
8000;-0.671481; 1.554873; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
8200;-0.670410; 1.555163; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
8400;-0.667906; 1.553742; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
8600;-0.666187; 1.553882; -20.000000; 0.000000; 0.000000; 0.000000; 0.000000
8800;-0.664208; 1.552579; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
9000;-0.663911; 1.553397; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9200;-0.662979; 1.553015; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
9400;-0.661642; 1.552038; -17.000000; 0.000000; 0.000000; 0.000000; 0.000000
9600;-0.661354; 1.556494; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
9800;-0.661143; 1.557902; -16.000000; 0.000000; 0.000000; 0.000000; 0.000000
10000;-0.660042; 1.557097; -18.000000; 0.000000; 0.000000; 0.000000; 0.000000
