Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.800000
Elitism Rate: 0.050000
Recombination Rate: 0.300000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-42.675365;17.423723;-126.368370;-55.326164;-42.821762;-31.073326;-0.119779
1000;-0.002005;0.135615;-9.402262;-0.083789;-0.037841;-0.017348;-0.000023
2000;-0.001390;0.114222;-4.898169;-0.033662;-0.001972;-0.000490;-0.000000
3000;-0.001589;0.120844;-8.102076;-0.046387;-0.001232;-0.000054;-0.000000
4000;-0.001659;0.123735;-5.965268;-0.051720;-0.001912;-0.000012;-0.000000
5000;-0.001684;0.124651;-5.222180;-0.053015;-0.002128;-0.000004;-0.000000
6000;-0.001642;0.123002;-5.542614;-0.051154;-0.001849;-0.000001;-0.000000
7000;-0.001577;0.120537;-7.825294;-0.046630;-0.001257;-0.000001;-0.000000
8000;-0.001347;0.114487;-5.675247;-0.039277;-0.000554;-0.000000;-0.000000
9000;-0.001203;0.108913;-5.703325;-0.030758;-0.000119;-0.000000;-0.000000
10000;-0.001035;0.102045;-6.177693;-0.021806;-0.000002;-0.000000;-0.000000
11000;-0.000858;0.094915;-6.898668;-0.014101;-0.000000;-0.000000;-0.000000
12000;-0.000706;0.087954;-4.596301;-0.007984;-0.000000;-0.000000;-0.000000
13000;-0.000583;0.081611;-5.543736;-0.004023;-0.000000;-0.000000;-0.000000
14000;-0.000502;0.076348;-5.902575;-0.001671;-0.000000;-0.000000;-0.000000
15000;-0.000426;0.071592;-6.766296;-0.000470;-0.000000;-0.000000;-0.000000
16000;-0.000376;0.067157;-4.937035;-0.000048;-0.000000;-0.000000;-0.000000
17000;-0.000315;0.063208;-5.001510;-0.000000;-0.000000;-0.000000;-0.000000
18000;-0.000287;0.060272;-4.554399;-0.000000;-0.000000;-0.000000;-0.000000
19000;-0.000261;0.058118;-5.789275;-0.000000;-0.000000;-0.000000;-0.000000
20000;-0.000260;0.056753;-5.471382;-0.000000;-0.000000;-0.000000;-0.000000
21000;-0.000214;0.054485;-4.128167;-0.000000;-0.000000;-0.000000;-0.000000
22000;-0.000213;0.053503;-4.750960;-0.000000;-0.000000;-0.000000;-0.000000
23000;-0.000216;0.052481;-3.935310;-0.000000;-0.000000;-0.000000;-0.000000
24000;-0.000201;0.051852;-5.630243;-0.000000;-0.000000;-0.000000;-0.000000
25000;-0.000194;0.051181;-5.227905;-0.000000;-0.000000;-0.000000;-0.000000
26000;-0.000190;0.050635;-4.464124;-0.000000;-0.000000;-0.000000;-0.000000
27000;-0.000197;0.050439;-4.470581;-0.000000;-0.000000;-0.000000;-0.000000
28000;-0.000188;0.049711;-4.115792;-0.000000;-0.000000;-0.000000;-0.000000
29000;-0.000182;0.049399;-5.351743;-0.000000;-0.000000;-0.000000;-0.000000
30000;-0.000186;0.049298;-5.724373;-0.000000;-0.000000;-0.000000;-0.000000
31000;-0.000174;0.048654;-4.566702;-0.000000;-0.000000;-0.000000;-0.000000
32000;-0.000169;0.048433;-4.129611;-0.000000;-0.000000;-0.000000;-0.000000
33000;-0.000182;0.048719;-4.406002;-0.000000;-0.000000;-0.000000;-0.000000
34000;-0.000183;0.048443;-3.454603;-0.000000;-0.000000;-0.000000;-0.000000
35000;-0.000179;0.048543;-5.740658;-0.000000;-0.000000;-0.000000;-0.000000
36000;-0.000171;0.048034;-4.212715;-0.000000;-0.000000;-0.000000;-0.000000
37000;-0.000175;0.047832;-3.879122;-0.000000;-0.000000;-0.000000;-0.000000
38000;-0.000175;0.048043;-5.077713;-0.000000;-0.000000;-0.000000;-0.000000
39000;-0.000172;0.047709;-4.533327;-0.000000;-0.000000;-0.000000;-0.000000
40000;-0.000173;0.047547;-3.451788;-0.000000;-0.000000;-0.000000;-0.000000
41000;-0.000171;0.047499;-4.050111;-0.000000;-0.000000;-0.000000;-0.000000
42000;-0.000176;0.047344;-6.330731;-0.000000;-0.000000;-0.000000;-0.000000
43000;-0.000172;0.047387;-4.463009;-0.000000;-0.000000;-0.000000;-0.000000
44000;-0.000170;0.047426;-5.825266;-0.000000;-0.000000;-0.000000;-0.000000
45000;-0.000171;0.047297;-3.695283;-0.000000;-0.000000;-0.000000;-0.000000
46000;-0.000176;0.047218;-4.091821;-0.000000;-0.000000;-0.000000;-0.000000
47000;-0.000165;0.046993;-4.435558;-0.000000;-0.000000;-0.000000;-0.000000
48000;-0.000166;0.046812;-4.185371;-0.000000;-0.000000;-0.000000;-0.000000
49000;-0.000155;0.046723;-4.156066;-0.000000;-0.000000;-0.000000;-0.000000
50000;-0.000170;0.047086;-6.411449;-0.000000;-0.000000;-0.000000;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;4325.413574;174.864441;3610.049072;4207.150391;4325.337402;4442.864258;5041.270996
1000;12.211400;3.348289;3.707681;10.425289;12.275202;14.435943;62.560341
2000;12.318770;2.929668;2.154144;10.775581;12.562779;14.561234;41.460110
3000;13.343910;3.052979;1.094970;11.725231;13.587858;15.650650;50.589737
4000;13.714500;3.169038;0.255789;12.084208;13.996832;16.082893;44.213783
5000;13.729000;3.419216;0.000000;12.098089;14.095923;16.246975;44.285976
6000;13.427010;3.786367;0.000000;11.840507;13.960835;16.165455;44.353889
7000;12.867200;4.275089;0.000000;11.242804;13.634238;15.945705;54.491405
8000;11.936430;4.731595;0.000000;10.017351;12.958155;15.459620;49.055401
9000;10.896330;5.086691;0.000000;8.112965;12.027977;14.888273;46.338203
10000;9.760350;5.267990;0.000000;5.972505;10.738396;14.075344;45.285984
11000;8.705660;5.323861;0.000000;4.442279;9.212942;13.183533;51.953087
12000;7.691080;5.230363;0.000000;3.586384;7.570390;12.046547;42.786774
13000;6.804780;5.074449;0.000000;3.051064;6.085003;10.873466;46.030582
14000;6.054890;4.875822;0.000000;2.732144;5.010657;9.589920;57.938038
15000;5.418740;4.628046;0.000000;2.501713;4.331442;8.378545;42.001083
16000;4.890040;4.397379;0.000000;2.312656;3.869190;7.227740;47.217903
17000;4.450050;4.198319;0.000000;2.165933;3.544122;6.290070;42.738010
18000;4.099550;3.984874;0.000000;2.072323;3.320362;5.629253;40.284645
19000;3.821060;3.846375;0.000000;1.984774;3.139180;5.136141;43.435379
20000;3.618330;3.740286;0.000000;1.925899;3.017700;4.816420;44.808544
21000;3.432510;3.601401;0.000000;1.852315;2.907832;4.537158;49.152676
22000;3.292210;3.517820;0.000000;1.810894;2.822035;4.354936;61.420280
23000;3.170120;3.441329;0.000000;1.771716;2.764904;4.199883;45.780819
24000;3.079500;3.397907;0.000000;1.735914;2.698028;4.093497;54.474274
25000;3.004460;3.351011;0.000000;1.712669;2.658881;4.006478;49.387138
26000;2.946090;3.333786;0.000000;1.685578;2.616160;3.931624;62.204563
27000;2.902100;3.292074;0.000000;1.671627;2.595406;3.877923;44.511600
28000;2.851610;3.271613;0.000000;1.647825;2.569446;3.826030;62.793926
29000;2.804920;3.266420;0.000000;1.624469;2.527934;3.763995;44.091587
30000;2.781250;3.235513;0.000000;1.624539;2.526671;3.737484;48.144180
31000;2.739060;3.204229;0.000000;1.612304;2.493979;3.690932;40.939339
32000;2.714340;3.197438;0.000000;1.599889;2.472480;3.660837;43.448406
33000;2.692570;3.195328;0.000000;1.581971;2.453360;3.626009;46.459324
34000;2.678470;3.190677;0.000000;1.588196;2.453872;3.604859;46.250648
35000;2.661610;3.191768;0.000000;1.575958;2.439424;3.590863;45.643970
36000;2.634290;3.154352;0.000000;1.571935;2.433363;3.563517;46.410202
37000;2.621490;3.156164;0.000000;1.565991;2.410672;3.557170;46.727463
38000;2.604760;3.161173;0.000000;1.554195;2.402760;3.519092;40.979713
39000;2.604960;3.151237;0.000000;1.560097;2.404913;3.523480;42.936909
40000;2.572240;3.138799;0.000000;1.534137;2.379206;3.491009;46.365269
41000;2.564140;3.139169;0.000000;1.531431;2.379044;3.478326;41.987831
42000;2.542980;3.108964;0.000000;1.527903;2.366268;3.454882;42.910614
43000;2.541830;3.133688;0.000000;1.532026;2.363287;3.453897;48.371979
44000;2.531420;3.143441;0.000000;1.518843;2.347186;3.434503;52.916325
45000;2.529390;3.132622;0.000000;1.522827;2.347997;3.433799;46.624077
46000;2.516730;3.117232;0.000000;1.514608;2.342264;3.421411;47.220890
