Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.650000
Elitism Rate: 0.050000
Recombination Rate: 0.050000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.100000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 2000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-168.297241;35.575882;-359.890961;-198.042068;-173.903717;-150.550751;-23.768526
2000;-0.362266;0.640692;-15.533264;-0.980854;-0.709590;-0.521747;-0.075819
4000;-0.002238;0.193560;-6.374440;-0.171722;-0.108062;-0.076821;-0.010327
6000;-0.001522;0.146302;-10.274994;-0.076996;-0.030852;-0.020538;-0.002234
8000;-0.001600;0.142517;-5.873600;-0.064572;-0.011110;-0.006715;-0.000689
10000;-0.001733;0.143700;-13.121878;-0.063775;-0.004724;-0.002473;-0.000224
12000;-0.001828;0.145460;-13.906307;-0.065686;-0.002451;-0.001006;-0.000039
14000;-0.001983;0.147522;-8.692334;-0.067755;-0.001794;-0.000441;-0.000016
16000;-0.002021;0.149007;-7.684336;-0.069344;-0.001742;-0.000208;-0.000007
18000;-0.002136;0.150578;-8.003570;-0.070873;-0.001842;-0.000105;-0.000004
20000;-0.002197;0.151179;-8.139604;-0.071516;-0.001907;-0.000055;-0.000001
22000;-0.002209;0.151734;-7.200101;-0.071958;-0.001958;-0.000031;-0.000001
24000;-0.002208;0.151954;-14.126086;-0.072192;-0.001985;-0.000018;-0.000000
26000;-0.002265;0.152243;-9.642454;-0.071925;-0.001968;-0.000011;-0.000000
28000;-0.002216;0.151829;-7.976097;-0.071614;-0.001938;-0.000007;-0.000000
30000;-0.002244;0.151878;-7.972698;-0.071298;-0.001889;-0.000004;-0.000000
32000;-0.002213;0.151234;-7.851711;-0.070084;-0.001782;-0.000003;-0.000000
34000;-0.002185;0.150444;-7.196486;-0.069197;-0.001687;-0.000002;-0.000000
36000;-0.002113;0.149535;-9.574595;-0.067682;-0.001524;-0.000001;-0.000000
38000;-0.002080;0.148549;-10.466562;-0.066099;-0.001391;-0.000001;-0.000000
40000;-0.002080;0.147809;-8.954797;-0.064456;-0.001221;-0.000001;-0.000000
42000;-0.002036;0.146675;-7.630092;-0.062187;-0.001047;-0.000000;-0.000000
44000;-0.001937;0.144794;-9.432867;-0.059685;-0.000868;-0.000000;-0.000000
46000;-0.001942;0.143805;-9.819199;-0.057360;-0.000712;-0.000000;-0.000000
48000;-0.001840;0.141901;-9.306749;-0.054402;-0.000553;-0.000000;-0.000000
50000;-0.001764;0.139954;-8.057676;-0.051846;-0.000429;-0.000000;-0.000000
52000;-0.001716;0.138404;-8.177364;-0.048922;-0.000317;-0.000000;-0.000000
54000;-0.001681;0.136754;-10.245315;-0.046105;-0.000232;-0.000000;-0.000000
56000;-0.001578;0.134573;-10.979036;-0.042827;-0.000152;-0.000000;-0.000000
58000;-0.001523;0.132722;-8.200510;-0.039645;-0.000092;-0.000000;-0.000000
60000;-0.001445;0.130551;-6.939536;-0.036238;-0.000050;-0.000000;-0.000000
62000;-0.001388;0.128628;-12.511386;-0.033164;-0.000025;-0.000000;-0.000000
64000;-0.001336;0.126703;-8.442438;-0.030107;-0.000011;-0.000000;-0.000000
66000;-0.001228;0.124213;-7.687515;-0.027027;-0.000004;-0.000000;-0.000000
68000;-0.001165;0.121793;-6.913239;-0.023878;-0.000001;-0.000000;-0.000000
70000;-0.001125;0.120300;-6.960424;-0.021108;-0.000000;-0.000000;-0.000000
72000;-0.001041;0.117606;-6.150124;-0.018429;-0.000000;-0.000000;-0.000000
74000;-0.001001;0.116116;-6.482436;-0.016075;-0.000000;-0.000000;-0.000000
76000;-0.000971;0.114487;-7.884488;-0.013986;-0.000000;-0.000000;-0.000000
78000;-0.000909;0.112754;-6.374498;-0.011826;-0.000000;-0.000000;-0.000000
80000;-0.000851;0.110600;-14.176183;-0.009801;-0.000000;-0.000000;-0.000000
82000;-0.000835;0.109453;-5.983418;-0.008343;-0.000000;-0.000000;-0.000000
84000;-0.000755;0.106989;-5.779881;-0.006715;-0.000000;-0.000000;-0.000000
86000;-0.000709;0.105024;-9.717256;-0.005233;-0.000000;-0.000000;-0.000000
88000;-0.000652;0.103021;-5.768027;-0.004126;-0.000000;-0.000000;-0.000000
90000;-0.000633;0.101700;-10.116735;-0.003146;-0.000000;-0.000000;-0.000000
92000;-0.000611;0.100304;-11.796762;-0.002407;-0.000000;-0.000000;-0.000000
94000;-0.000567;0.098582;-5.625665;-0.001769;-0.000000;-0.000000;-0.000000
