Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-168.297760;35.569885;-377.447144;-198.047760;-173.932144;-150.580261;-26.683273
1000;-7.659909;2.870605;-36.505756;-9.145741;-7.095228;-5.401114;-0.755834
2000;-3.840128;1.953333;-25.236212;-4.975657;-3.577347;-2.494915;-0.199578
3000;-1.677722;1.145118;-19.418379;-2.318857;-1.498794;-0.938603;-0.064154
4000;-0.305974;0.671216;-13.015128;-0.894003;-0.529790;-0.317424;-0.027771
5000;-0.018530;0.323817;-7.195057;-0.327690;-0.199900;-0.128245;-0.011433
6000;-0.000510;0.152995;-4.419711;-0.144090;-0.093616;-0.063335;-0.005214
7000;-0.000020;0.090828;-1.632820;-0.075571;-0.050907;-0.035217;-0.004398
8000;-0.000003;0.070894;-1.191557;-0.044564;-0.030422;-0.021210;-0.002255
9000;-0.000002;0.062682;-1.387602;-0.028360;-0.019530;-0.013617;-0.001181
10000;-0.000002;0.059834;-1.131350;-0.019237;-0.013229;-0.009188;-0.000564
11000;-0.000002;0.058875;-1.159687;-0.013653;-0.009353;-0.006481;-0.000321
12000;-0.000002;0.058128;-1.343959;-0.010075;-0.006854;-0.004711;-0.000163
13000;-0.000001;0.057635;-1.110196;-0.007656;-0.005167;-0.003525;-0.000162
14000;-0.000001;0.057244;-1.155689;-0.005973;-0.004000;-0.002694;-0.000162
15000;-0.000002;0.057163;-1.104024;-0.004757;-0.003158;-0.002103;-0.000121
16000;-0.000001;0.056917;-1.156490;-0.003861;-0.002536;-0.001674;-0.000115
17000;-0.000001;0.056841;-1.160553;-0.003179;-0.002067;-0.001353;-0.000060
18000;-0.000001;0.056819;-1.203710;-0.002652;-0.001708;-0.001111;-0.000060
19000;-0.000001;0.056675;-1.142858;-0.002233;-0.001428;-0.000919;-0.000053
20000;-0.000001;0.056667;-1.166198;-0.001905;-0.001205;-0.000770;-0.000036
21000;-0.000000;0.056543;-1.193977;-0.001633;-0.001028;-0.000650;-0.000023
22000;-0.000001;0.056612;-1.255058;-0.001425;-0.000887;-0.000555;-0.000014
23000;-0.000001;0.056569;-1.142229;-0.001245;-0.000769;-0.000478;-0.000014
24000;-0.000001;0.056502;-1.134849;-0.001097;-0.000671;-0.000415;-0.000001
25000;-0.000001;0.056538;-1.208209;-0.000973;-0.000589;-0.000362;-0.000001
26000;-0.000001;0.056424;-1.222116;-0.000866;-0.000522;-0.000318;-0.000001
27000;-0.000001;0.056439;-1.185890;-0.000773;-0.000464;-0.000280;-0.000001
28000;-0.000001;0.056398;-1.119063;-0.000696;-0.000414;-0.000248;-0.000001
29000;-0.000001;0.056415;-1.162018;-0.000626;-0.000371;-0.000221;-0.000001
30000;-0.000002;0.056371;-1.169183;-0.000569;-0.000334;-0.000197;-0.000001
31000;-0.000001;0.056430;-1.230074;-0.000518;-0.000302;-0.000177;-0.000001
32000;-0.000001;0.056397;-1.149731;-0.000473;-0.000274;-0.000160;-0.000001
33000;-0.000001;0.056368;-1.107119;-0.000433;-0.000250;-0.000145;-0.000001
34000;-0.000001;0.056361;-1.110477;-0.000398;-0.000229;-0.000132;-0.000000
35000;-0.000001;0.056346;-1.196926;-0.000367;-0.000209;-0.000120;-0.000000
36000;-0.000001;0.056445;-1.151148;-0.000338;-0.000192;-0.000110;-0.000000
37000;-0.000001;0.056457;-1.162815;-0.000312;-0.000177;-0.000101;-0.000000
38000;-0.000001;0.056301;-1.206517;-0.000290;-0.000164;-0.000093;-0.000000
39000;-0.000001;0.056364;-1.233379;-0.000270;-0.000151;-0.000085;-0.000000
40000;-0.000001;0.056312;-1.150028;-0.000252;-0.000141;-0.000079;-0.000000
41000;-0.000001;0.056410;-1.121498;-0.000235;-0.000131;-0.000073;-0.000000
42000;-0.000001;0.056400;-1.267490;-0.000220;-0.000122;-0.000067;-0.000000
43000;-0.000001;0.056246;-1.114133;-0.000206;-0.000113;-0.000063;-0.000000
44000;-0.000001;0.056296;-1.153646;-0.000193;-0.000106;-0.000058;-0.000000
45000;-0.000001;0.056321;-1.228662;-0.000181;-0.000099;-0.000054;-0.000000
46000;-0.000001;0.056321;-1.192625;-0.000171;-0.000093;-0.000051;-0.000000
47000;-0.000001;0.056298;-1.161546;-0.000160;-0.000087;-0.000047;-0.000000
48000;-0.000001;0.056302;-1.289405;-0.000151;-0.000082;-0.000044;-0.000000
49000;-0.000001;0.056384;-1.290184;-0.000143;-0.000077;-0.000042;-0.000000
50000;-0.000001;0.056399;-1.117376;-0.000136;-0.000073;-0.000039;-0.000000
51000;-0.000000;0.056289;-1.128301;-0.000129;-0.000069;-0.000037;-0.000000
52000;-0.000001;0.056211;-1.090721;-0.000122;-0.000065;-0.000035;-0.000000
53000;-0.000001;0.056246;-1.174873;-0.000116;-0.000062;-0.000033;-0.000000
54000;-0.000002;0.056311;-1.191337;-0.000110;-0.000058;-0.000031;-0.000000
55000;-0.000001;0.056380;-1.274027;-0.000105;-0.000055;-0.000029;-0.000000
56000;-0.000001;0.056354;-1.305761;-0.000100;-0.000053;-0.000027;-0.000000
57000;-0.000001;0.056312;-1.256325;-0.000095;-0.000050;-0.000026;-0.000000
58000;-0.000001;0.056344;-1.185705;-0.000091;-0.000048;-0.000025;-0.000000
59000;-0.000001;0.056469;-1.126222;-0.000087;-0.000045;-0.000023;-0.000000
60000;-0.000000;0.056279;-1.101163;-0.000083;-0.000043;-0.000022;-0.000000
61000;-0.000001;0.056306;-1.250694;-0.000079;-0.000041;-0.000021;-0.000000
62000;-0.000001;0.056240;-1.177862;-0.000076;-0.000039;-0.000020;-0.000000
63000;-0.000001;0.056349;-1.296747;-0.000073;-0.000038;-0.000019;-0.000000
64000;-0.000001;0.056241;-1.344105;-0.000070;-0.000036;-0.000018;-0.000000
65000;-0.000002;0.056456;-1.200297;-0.000067;-0.000034;-0.000018;-0.000000
66000;-0.000001;0.056305;-1.171722;-0.000064;-0.000033;-0.000017;-0.000000
67000;-0.000001;0.056251;-1.251828;-0.000062;-0.000032;-0.000016;-0.000000
68000;-0.000001;0.056318;-1.122281;-0.000060;-0.000030;-0.000015;-0.000000
69000;-0.000000;0.056363;-1.067595;-0.000057;-0.000029;-0.000015;-0.000000
70000;-0.000001;0.056374;-1.144014;-0.000055;-0.000028;-0.000014;-0.000000
71000;-0.000001;0.056284;-1.104422;-0.000053;-0.000027;-0.000013;-0.000000
72000;-0.000001;0.056068;-1.122055;-0.000051;-0.000026;-0.000013;-0.000000
73000;-0.000001;0.056345;-1.178312;-0.000049;-0.000025;-0.000012;-0.000000
74000;-0.000002;0.056227;-1.311881;-0.000047;-0.000024;-0.000012;-0.000000
75000;-0.000001;0.056337;-1.223030;-0.000046;-0.000023;-0.000011;-0.000000
76000;-0.000001;0.056290;-1.157279;-0.000044;-0.000022;-0.000011;-0.000000
77000;-0.000002;0.056262;-1.310315;-0.000043;-0.000021;-0.000011;-0.000000
78000;-0.000001;0.056433;-1.155448;-0.000041;-0.000021;-0.000010;-0.000000
79000;-0.000001;0.056333;-1.137741;-0.000040;-0.000020;-0.000010;-0.000000
80000;-0.000001;0.056323;-1.184770;-0.000039;-0.000019;-0.000009;-0.000000
81000;-0.000001;0.056302;-1.209877;-0.000038;-0.000019;-0.000009;-0.000000
82000;-0.000001;0.056297;-1.153761;-0.000036;-0.000018;-0.000009;-0.000000
83000;-0.000001;0.056323;-1.169414;-0.000035;-0.000017;-0.000008;-0.000000
84000;-0.000001;0.056273;-1.131074;-0.000034;-0.000017;-0.000008;-0.000000
85000;-0.000001;0.056219;-1.073452;-0.000033;-0.000016;-0.000008;-0.000000
86000;-0.000001;0.056261;-1.193273;-0.000032;-0.000016;-0.000008;-0.000000
