Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.750000
Elitism Rate: 0.050000
Recombination Rate: 0.200000
Additional Parameters:
-crossover_ratio: 0.000000
-gene_mutation_rate: 0.150000
-range_max: 600.000000
-range_min: -600.000000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 2000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-214.748367;645514.375000;-1723405.625000;-759951.625000;-588276.812500;-426769.812500;-1468.196533
2000;-214.748367;1285.239746;-79515.218750;-146.714203;-45.627640;-26.305485;-0.628941
4000;-214.748367;1002.434265;-101219.718750;-25.369461;-12.050760;-7.226131;-0.008247
6000;-102.664368;551.531372;-51064.593750;-10.740644;-6.649185;-4.029205;-0.000282
8000;-58.437531;403.942902;-31433.519531;-8.796219;-5.673443;-3.376186;-0.000282
10000;-53.687092;385.674500;-30765.255859;-7.957577;-5.198158;-3.154030;-0.000000
12000;-51.676208;378.238983;-31776.625000;-7.393364;-4.811798;-2.992897;-0.000000
14000;-49.932102;372.042969;-35113.875000;-6.966740;-4.464041;-2.764759;-0.000000
16000;-49.084080;369.237610;-24837.937500;-6.571163;-4.211727;-2.593666;-0.000000
18000;-48.391811;367.285767;-36337.539063;-6.265091;-4.010036;-2.465157;-0.000000
20000;-47.930553;364.914063;-19412.476563;-6.022381;-3.787666;-2.358395;-0.000000
22000;-47.476768;363.583527;-32239.664063;-5.707172;-3.595016;-2.272564;-0.000000
24000;-47.231956;362.621216;-19412.888672;-5.450630;-3.432850;-2.198662;-0.000000
26000;-46.892445;362.179230;-37179.800781;-5.226318;-3.302422;-2.132126;-0.000000
28000;-46.583416;361.354614;-26125.812500;-5.044399;-3.194374;-2.078976;-0.000000
30000;-46.450325;359.988495;-21397.785156;-4.844223;-3.103561;-2.034164;-0.000000
32000;-46.280037;359.261658;-17712.134766;-4.629581;-3.028084;-1.997078;-0.000000
34000;-45.950420;358.478088;-30077.074219;-4.448570;-2.941963;-1.908531;-0.000000
36000;-45.924011;357.873749;-16517.212891;-4.294682;-2.822727;-1.803101;-0.000000
38000;-45.960522;358.487061;-21052.330078;-4.165833;-2.722885;-1.711670;-0.000000
40000;-45.809093;357.851471;-17848.369141;-4.049812;-2.634193;-1.635841;-0.000000
42000;-45.306576;355.402100;-19817.054688;-3.947308;-2.551769;-1.565262;-0.000000
44000;-45.499336;356.717712;-15797.195313;-3.822672;-2.483955;-1.507072;-0.000000
46000;-45.474609;356.105713;-32274.324219;-3.706642;-2.423195;-1.456463;-0.000000
48000;-45.297440;355.670166;-17447.128906;-3.605640;-2.365013;-1.407383;-0.000000
50000;-45.027168;355.266418;-30971.902344;-3.509750;-2.313862;-1.364601;-0.000000
52000;-45.326698;356.437256;-34465.582031;-3.422226;-2.270554;-1.328003;-0.000000
54000;-45.271397;355.467438;-15830.452148;-3.347969;-2.224720;-1.291901;-0.000000
56000;-44.982670;354.785278;-27234.906250;-3.276466;-2.185787;-1.259300;-0.000000
58000;-45.063343;355.068176;-21154.789063;-3.215908;-2.149025;-1.230705;-0.000000
60000;-44.976688;354.678925;-25513.646484;-3.158203;-2.116684;-1.204220;-0.000000
62000;-44.911678;354.105011;-16081.097656;-3.106895;-2.088760;-1.182564;-0.000000
64000;-44.962212;355.192810;-19097.009766;-3.062763;-2.063179;-1.162575;-0.000000
66000;-44.887569;354.477173;-25055.933594;-3.022552;-2.040100;-1.142967;-0.000000
68000;-44.822926;353.999695;-17563.062500;-2.990147;-2.020092;-1.125032;-0.000000
70000;-44.921535;354.850037;-19463.857422;-2.938034;-2.002422;-1.109657;-0.000000
72000;-44.610600;353.028656;-15660.906250;-2.869720;-1.990524;-1.095245;-0.000000
74000;-44.727676;353.185089;-15456.450195;-2.802956;-1.940323;-1.081848;-0.000000
76000;-44.759575;353.880737;-18875.363281;-2.744789;-1.880024;-1.068336;-0.000000
78000;-44.767773;354.095184;-18662.308594;-2.692360;-1.825539;-1.056332;-0.000000
80000;-44.520214;352.607391;-17160.925781;-2.640755;-1.775558;-1.045197;-0.000000
82000;-44.641277;353.448029;-28085.306641;-2.596653;-1.730125;-1.035873;-0.000000
84000;-44.702766;354.049133;-22212.138672;-2.553116;-1.687386;-1.027451;-0.000000
86000;-44.626732;353.076324;-31472.523438;-2.514534;-1.647007;-1.019222;-0.000000
88000;-44.422504;352.786804;-15195.918945;-2.469948;-1.606651;-1.012386;-0.000000
90000;-44.503456;352.758148;-17571.070313;-2.435120;-1.570095;-1.006420;-0.000000
92000;-44.361835;351.779633;-18270.941406;-2.399078;-1.535206;-1.001579;-0.000000
94000;-44.419102;351.909851;-17035.419922;-2.364544;-1.503311;-0.998070;-0.000000
96000;-44.346489;352.246338;-17907.773438;-2.334496;-1.475449;-0.995823;-0.000000
