Chromosome Length: 40
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-gene_mutation_rate: 0.050000
-tournament_size: 5.000000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-19.949787; 3.158081; -34.000000; -22.000000; -20.000000; -18.000000; -5.000000
1000;-1.023124; 1.138337; -12.000000; -1.000000; -1.000000; 0.000000; 0.000000
2000;-0.325011; 0.913102; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
3000;-0.302500; 0.880171; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
4000;-0.301392; 0.879379; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
5000;-0.302843; 0.881288; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
6000;-0.302088; 0.882067; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
7000;-0.301402; 0.879475; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
8000;-0.301887; 0.880457; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
9000;-0.302440; 0.879782; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
10000;-0.302645; 0.881524; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
11000;-0.302460; 0.881827; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
12000;-0.302050; 0.879993; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
13000;-0.301958; 0.881138; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
14000;-0.301252; 0.879239; -9.000000; 0.000000; 0.000000; 0.000000; 0.000000
15000;-0.302227; 0.880691; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
16000;-0.301574; 0.879121; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
17000;-0.303035; 0.882021; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
18000;-0.301141; 0.880012; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
19000;-0.302041; 0.880751; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
20000;-0.301936; 0.880114; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
21000;-0.301190; 0.879385; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
22000;-0.301575; 0.880587; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
23000;-0.303286; 0.881220; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
24000;-0.303244; 0.881744; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
25000;-0.301222; 0.877804; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
26000;-0.302032; 0.880936; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
27000;-0.302726; 0.880998; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
28000;-0.302067; 0.879928; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
29000;-0.302122; 0.881394; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
30000;-0.301129; 0.878915; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
31000;-0.300682; 0.878863; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
32000;-0.301078; 0.879436; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
33000;-0.301541; 0.879913; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
34000;-0.303520; 0.882878; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
35000;-0.302555; 0.880473; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
36000;-0.301516; 0.879461; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
37000;-0.302214; 0.880668; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
38000;-0.303001; 0.882281; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
39000;-0.303245; 0.883399; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
40000;-0.301949; 0.881134; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
41000;-0.302541; 0.881040; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
42000;-0.302294; 0.879807; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
43000;-0.302043; 0.878627; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
44000;-0.301483; 0.877285; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
45000;-0.302976; 0.882374; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
46000;-0.301921; 0.880218; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
47000;-0.301995; 0.879176; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
48000;-0.302459; 0.881424; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
49000;-0.303405; 0.882954; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
50000;-0.301328; 0.879451; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
51000;-0.300398; 0.878053; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
52000;-0.303641; 0.882696; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
53000;-0.301389; 0.880813; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
54000;-0.303070; 0.881297; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
55000;-0.300219; 0.877889; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
56000;-0.303220; 0.883014; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
57000;-0.301960; 0.881119; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
58000;-0.302769; 0.880490; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
59000;-0.301624; 0.879994; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
60000;-0.301611; 0.879653; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
61000;-0.299254; 0.877102; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
62000;-0.301928; 0.880406; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
63000;-0.300734; 0.878041; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
64000;-0.302584; 0.879863; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
65000;-0.301310; 0.880051; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
66000;-0.304217; 0.883046; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
67000;-0.303449; 0.882159; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
68000;-0.303182; 0.882277; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
69000;-0.302119; 0.880970; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
70000;-0.301336; 0.880823; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
71000;-0.303040; 0.881965; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
72000;-0.302637; 0.881058; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
73000;-0.301787; 0.881237; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
74000;-0.301882; 0.879895; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
75000;-0.302563; 0.881014; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
76000;-0.302632; 0.880695; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
77000;-0.302572; 0.880712; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
78000;-0.302253; 0.879540; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
79000;-0.301788; 0.878915; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
80000;-0.302029; 0.880663; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
81000;-0.302138; 0.880925; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
82000;-0.302381; 0.880243; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
83000;-0.303966; 0.882936; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
84000;-0.301162; 0.877840; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
85000;-0.302284; 0.880455; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
86000;-0.303247; 0.882743; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
87000;-0.301444; 0.880409; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
88000;-0.301702; 0.879559; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
89000;-0.303247; 0.883075; -9.000000; 0.000000; 0.000000; 0.000000; 0.000000
90000;-0.301865; 0.880490; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
91000;-0.304389; 0.883664; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
92000;-0.301206; 0.879027; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
93000;-0.302645; 0.881922; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
94000;-0.302405; 0.881526; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
95000;-0.303243; 0.881010; -12.000000; 0.000000; 0.000000; 0.000000; 0.000000
96000;-0.300847; 0.877891; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
97000;-0.303135; 0.882377; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
98000;-0.301749; 0.879130; -11.000000; 0.000000; 0.000000; 0.000000; 0.000000
99000;-0.302657; 0.880663; -10.000000; 0.000000; 0.000000; 0.000000; 0.000000
100000;-0.303074; 0.882747; -13.000000; 0.000000; 0.000000; 0.000000; 0.000000
