Chromosome Length: 80
Population Size: 200
Mutation Probability: 0.150000
Crossover Probability: 0.800000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-gene_mutation_rate: 0.050000
-tournament_size: 4.000000


Test size: 100000
Snapshot Period: 200
Evaluations: 10000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-43.199028;5.409784;-64.000000;-43.000000;-40.000000;-37.000000;-18.000000
200;-43.199028;5.409784;-64.000000;-43.000000;-40.000000;-37.000000;-18.000000
400;-26.843546;5.187453;-50.000000;-33.000000;-31.000000;-30.000000;-13.000000
600;-26.843546;3.235847;-47.000000;-30.000000;-28.000000;-27.000000;-12.000000
800;-26.843546;4.275397;-42.000000;-25.000000;-23.000000;-22.000000;-8.000000
1000;-22.049997;2.696128;-42.000000;-23.000000;-21.000000;-19.000000;-5.000000
1200;-15.865587;3.674482;-36.000000;-20.000000;-19.000000;-17.000000;-4.000000
1400;-13.421773;2.866153;-33.000000;-17.000000;-15.000000;-14.000000;-3.000000
1600;-13.421773;2.257959;-32.000000;-15.000000;-14.000000;-12.000000;-2.000000
1800;-13.421773;2.917707;-29.000000;-13.000000;-11.000000;-10.000000;-1.000000
2000;-6.710886;3.479103;-28.000000;-11.000000;-9.000000;-8.000000;0.000000
2200;-6.710886;2.603066;-26.000000;-9.000000;-8.000000;-7.000000;0.000000
2400;-6.710886;2.135253;-25.000000;-8.000000;-6.000000;-5.000000;0.000000
2600;-5.616480;2.090071;-22.000000;-6.000000;-5.000000;-4.000000;0.000000
2800;-3.355443;2.242988;-23.000000;-5.000000;-4.000000;-3.000000;0.000000
3000;-3.118783;1.939461;-20.000000;-4.000000;-3.000000;-2.000000;0.000000
3200;-2.283024;1.924076;-20.000000;-4.000000;-2.000000;-2.000000;0.000000
3400;-1.677722;1.831787;-19.000000;-3.000000;-2.000000;-1.000000;0.000000
3600;-1.404028;1.735693;-19.000000;-2.000000;-1.000000;-1.000000;0.000000
3800;-1.110613;1.690689;-20.000000;-2.000000;-1.000000;0.000000;0.000000
4000;-0.929596;1.625417;-17.000000;-2.000000;-1.000000;0.000000;0.000000
4200;-0.841093;1.589563;-17.000000;-1.000000;-1.000000;0.000000;0.000000
4400;-0.838861;1.561764;-20.000000;-1.000000;0.000000;0.000000;0.000000
4600;-0.838861;1.536777;-17.000000;-1.000000;0.000000;0.000000;0.000000
4800;-0.838861;1.523620;-18.000000;-1.000000;0.000000;0.000000;0.000000
5000;-0.838861;1.510260;-18.000000;-1.000000;0.000000;0.000000;0.000000
5200;-0.838861;1.498276;-18.000000;-1.000000;0.000000;0.000000;0.000000
5400;-0.838861;1.489676;-19.000000;-1.000000;0.000000;0.000000;0.000000
5600;-0.832271;1.521325;-18.000000;-1.000000;0.000000;0.000000;0.000000
5800;-0.808630;1.513741;-18.000000;-1.000000;0.000000;0.000000;0.000000
6000;-0.789369;1.520944;-18.000000;-1.000000;0.000000;0.000000;0.000000
6200;-0.770192;1.517040;-17.000000;-1.000000;0.000000;0.000000;0.000000
6400;-0.753498;1.522625;-17.000000;-1.000000;0.000000;0.000000;0.000000
6600;-0.739305;1.517734;-17.000000;-1.000000;0.000000;0.000000;0.000000
6800;-0.725512;1.514241;-19.000000;-1.000000;0.000000;0.000000;0.000000
7000;-0.713601;1.511034;-17.000000;0.000000;0.000000;0.000000;0.000000
7200;-0.703307;1.508663;-17.000000;0.000000;0.000000;0.000000;0.000000
7400;-0.692980;1.505014;-16.000000;0.000000;0.000000;0.000000;0.000000
7600;-0.684322;1.502462;-17.000000;0.000000;0.000000;0.000000;0.000000
7800;-0.675022;1.497501;-18.000000;0.000000;0.000000;0.000000;0.000000
8000;-0.667650;1.495194;-17.000000;0.000000;0.000000;0.000000;0.000000
8200;-0.661571;1.493895;-17.000000;0.000000;0.000000;0.000000;0.000000
8400;-0.656202;1.492404;-17.000000;0.000000;0.000000;0.000000;0.000000
8600;-0.650102;1.489065;-17.000000;0.000000;0.000000;0.000000;0.000000
8800;-0.645543;1.487037;-16.000000;0.000000;0.000000;0.000000;0.000000
9000;-0.641013;1.500020;-16.000000;0.000000;0.000000;0.000000;0.000000
9200;-0.637589;1.499707;-17.000000;0.000000;0.000000;0.000000;0.000000
9400;-0.634212;1.502149;-17.000000;0.000000;0.000000;0.000000;0.000000
9600;-0.630708;1.500442;-17.000000;0.000000;0.000000;0.000000;0.000000
9800;-0.628465;1.499885;-16.000000;0.000000;0.000000;0.000000;0.000000
10000;-0.624826;1.497703;-17.000000;0.000000;0.000000;0.000000;0.000000

DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;3978.984863;3.324271;3963.600830;3977.974609;3980.186523;3982.240234;3991.357178
200;3978.984863;3.324271;3963.600830;3977.974609;3980.186523;3982.240234;3991.357178
400;3649.382324;48.433670;3327.795166;3619.858398;3653.396484;3683.659668;3799.996094
600;3332.820557;123.914459;1829.441772;3268.537598;3351.634277;3418.762939;3638.011475
800;2712.019531;272.537628;640.210754;2573.575928;2748.890625;2893.067871;3461.237793
1000;2385.365967;271.538300;744.563660;2238.037109;2425.608398;2576.999268;3084.980957
1200;2079.742676;288.272369;532.727600;1909.721924;2113.732910;2287.591309;2856.674316
1400;1650.781128;265.016083;367.901062;1484.522461;1671.781006;1836.477539;2599.301514
1600;1440.619019;249.308380;286.175812;1280.347778;1457.475342;1616.714722;2236.737793
1800;1189.403320;241.076797;195.647903;1029.025879;1195.333008;1357.418823;2005.888672
2000;961.649109;204.453720;145.350296;824.050781;965.720215;1103.610352;1792.708496
2200;826.010010;188.533905;146.838074;696.854553;827.513184;956.137207;1632.658936
2400;650.541199;167.171677;106.550613;534.122803;646.377075;762.637451;1340.096802
2600;534.745667;143.121307;78.194839;434.576263;531.322632;631.030518;1194.673584
2800;441.518646;130.047119;66.337875;349.081757;436.326416;528.537903;1045.339722
3000;336.743988;109.106735;55.562210;257.866211;329.890656;408.171997;878.435486
3200;275.660095;94.394241;52.566315;206.689560;267.921997;336.559753;742.696594
3400;217.996658;79.659225;47.651752;156.560120;208.296539;267.442139;657.892151
3600;173.254486;60.844551;40.724747;127.334396;161.417023;209.291229;599.722595
3800;151.006897;48.636925;33.759167;116.581215;140.319611;176.487244;523.915405
4000;135.185028;36.979923;33.718822;110.612114;129.094833;152.865250;443.525024
4200;127.881943;30.752197;41.649673;107.687042;124.378799;143.919861;417.992188
4400;125.029869;27.974667;40.695362;106.653999;122.466270;140.869110;345.090363
4600;122.955238;26.360256;40.695255;105.605957;121.385345;138.231476;409.865692
4800;122.267326;25.535233;34.784443;104.892532;120.559967;137.911896;324.578918
5000;121.781487;24.915121;40.705875;104.850266;120.499306;137.133331;332.423920
5200;121.324516;24.560596;33.769833;104.799797;120.378426;136.907684;342.476532
5400;120.996803;24.276930;35.750088;104.754318;119.632896;136.239990;310.160248
5600;120.819748;23.995766;31.798857;104.755394;119.605728;136.173203;299.635651
5800;120.405983;23.951283;35.779633;103.948669;119.505409;135.938995;269.285248
6000;120.290611;23.632515;33.749363;103.957283;119.496040;135.278412;293.930359
6200;120.250763;23.673031;41.669670;104.675400;119.472801;135.307922;324.478516
6400;119.846649;23.365231;35.729412;103.877579;119.335037;135.105545;270.416809
6600;119.846191;23.211515;39.700611;103.887344;119.415573;135.151398;285.962128
6800;119.695061;23.214806;38.755665;103.856934;118.650040;135.130188;277.468018
7000;119.450111;23.079563;39.731392;103.807899;118.597374;135.069000;254.969727
7200;119.565269;23.039553;38.693832;103.838898;118.650452;135.090088;269.418091
7400;119.419762;23.031462;32.773975;103.833572;118.628494;134.329010;251.750977
7600;119.412537;23.023739;32.783989;103.818619;118.592613;134.348480;260.422485
7800;119.210571;22.886255;36.704777;103.797607;118.567802;134.264130;268.541656
8000;119.141769;22.938511;32.743824;103.796265;118.549622;134.213791;254.678604
8200;119.141350;22.828899;36.724758;103.807846;118.538147;134.242249;253.158981
8400;119.184647;22.817089;35.719887;103.788963;118.561005;134.234589;261.329132
8600;118.949059;22.730755;34.754871;103.776665;118.512283;134.183014;245.260391
8800;118.998817;22.724394;26.804272;103.788513;118.532837;134.150818;237.580139
9000;118.877647;22.629505;41.621006;103.753296;118.528854;134.161652;255.621399
9200;118.902870;22.640972;38.695724;103.776428;118.488403;134.144897;233.314392
9400;118.897957;22.583710;31.778807;103.767853;118.521706;134.150024;231.837814
9600;118.777222;22.672478;37.769978;103.001457;118.471954;134.132065;239.663010
9800;118.872040;22.491224;36.744339;103.774162;118.491959;134.123047;243.153915
10000;118.657387;22.534588;35.729435;103.739319;118.460403;133.894409;230.306564
