Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 5.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-168.296295; 35.565472; -377.331207; -198.065659; -173.930588; -150.575226; -29.349092
1000;-7.666059; 2.856788; -32.394760; -9.130581; -7.097729; -5.417322; -0.685788
2000;-3.837265; 1.944375; -21.985771; -4.969594; -3.577339; -2.497433; -0.202036
3000;-1.677722; 1.136986; -14.269982; -2.308017; -1.497811; -0.942223; -0.042942
4000;-0.303272; 0.669235; -10.082974; -0.890523; -0.530650; -0.317912; -0.026677
5000;-0.017759; 0.323817; -5.716702; -0.325547; -0.199219; -0.128170; -0.012274
6000;-0.000534; 0.152541; -3.406561; -0.143315; -0.093361; -0.063139; -0.006843
7000;-0.000009; 0.090749; -1.339538; -0.075439; -0.050524; -0.035069; -0.002965
8000;-0.000004; 0.070791; -1.410216; -0.044396; -0.030311; -0.021136; -0.000900
9000;-0.000002; 0.062592; -1.226800; -0.028313; -0.019443; -0.013558; -0.000814
10000;-0.000002; 0.059954; -1.290594; -0.019221; -0.013174; -0.009145; -0.000771
11000;-0.000001; 0.058743; -1.083835; -0.013612; -0.009314; -0.006442; -0.000422
12000;-0.000001; 0.058109; -1.133647; -0.010053; -0.006808; -0.004680; -0.000274
13000;-0.000001; 0.057589; -1.244949; -0.007631; -0.005142; -0.003496; -0.000253
14000;-0.000001; 0.057243; -1.149222; -0.005955; -0.003973; -0.002674; -0.000168
15000;-0.000001; 0.057147; -1.101373; -0.004752; -0.003131; -0.002093; -0.000108
16000;-0.000001; 0.057014; -1.171836; -0.003853; -0.002512; -0.001667; -0.000064
17000;-0.000001; 0.056831; -1.157744; -0.003166; -0.002053; -0.001343; -0.000064
18000;-0.000001; 0.056772; -1.200239; -0.002639; -0.001695; -0.001100; -0.000046
19000;-0.000001; 0.056733; -1.108012; -0.002230; -0.001422; -0.000913; -0.000036
20000;-0.000001; 0.056712; -1.128351; -0.001901; -0.001204; -0.000766; -0.000016
21000;-0.000001; 0.056627; -1.149431; -0.001637; -0.001028; -0.000648; -0.000015
