Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.750000
Elitism Rate: 0.050000
Recombination Rate: 0.200000
Additional Parameters:
-crossover_ratio: 0.000000
-gene_mutation_rate: 0.150000
-range_max: 600.000000
-range_min: -600.000000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 200
Evaluations: 10000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-214.748367;645544.437500;-1731748.625000;-759986.250000;-588223.250000;-426844.812500;-858.125671
200;-214.748367;149889.250000;-1195459.250000;-172200.906250;-111986.812500;-67160.234375;-77.724609
400;-214.748367;16086.905273;-284438.531250;-16348.675781;-9511.180664;-5344.989258;-39.106514
600;-214.748367;2910.012207;-99305.664063;-2958.570313;-1732.189209;-984.944824;-18.781292
800;-214.748367;1445.688599;-69699.085938;-868.329102;-427.163208;-239.244904;-7.786461
1000;-214.748367;1294.410156;-127359.546875;-408.378265;-179.603561;-106.872429;-2.299477
1200;-214.748367;1284.279175;-91682.820313;-271.001770;-115.967346;-74.014038;-2.299477
1400;-214.748367;1295.151978;-92699.671875;-215.129059;-88.947830;-56.582222;-1.141327
1600;-214.748367;1293.853638;-67422.039063;-184.516541;-70.847717;-42.484459;-1.011032
1800;-214.748367;1292.704590;-87499.031250;-163.006882;-56.404739;-32.465839;-1.005867
2000;-214.748367;1284.890625;-71577.523438;-146.226990;-45.638687;-26.293987;-0.255413
2200;-214.748367;1275.566772;-138292.390625;-132.927795;-38.088703;-22.086491;-0.255413
2400;-214.748367;1264.889771;-86504.906250;-117.633087;-32.519676;-18.817064;-0.255413
2600;-214.748367;1250.728882;-80890.148438;-99.446434;-28.233147;-16.239878;-0.060600
2800;-214.748367;1227.286621;-73040.101563;-81.380722;-24.617380;-14.176811;-0.060600
3000;-214.748367;1206.685425;-105303.515625;-65.145348;-21.545382;-12.407164;-0.060455
3200;-214.748367;1178.138916;-78722.835938;-52.522179;-18.948326;-10.987310;-0.060432
3400;-214.748367;1138.944580;-97025.781250;-42.747555;-16.710436;-9.775566;-0.060429
3600;-214.748367;1096.477051;-77840.750000;-35.235115;-14.897881;-8.722313;-0.060429
3800;-214.748367;1053.783081;-72903.593750;-29.575760;-13.332825;-7.884834;-0.038113
4000;-214.748367;1005.358398;-80507.117188;-25.368773;-11.996489;-7.207241;-0.025120
4200;-214.748367;952.629272;-74807.734375;-22.008133;-10.937506;-6.636259;-0.021763
4400;-214.748367;898.075256;-62985.468750;-19.200798;-10.043079;-6.163691;-0.005402
4600;-214.748367;845.099609;-95055.906250;-16.968414;-9.254879;-5.705647;-0.003292
4800;-203.074585;792.565186;-65738.953125;-15.290451;-8.607162;-5.317524;-0.001850
5000;-180.487213;745.476807;-72332.093750;-14.050314;-8.098827;-5.013229;-0.001850
5200;-160.872665;701.164063;-50174.472656;-13.040451;-7.677032;-4.702312;-0.001850
5400;-142.462021;658.444946;-88711.640625;-12.231789;-7.342072;-4.472843;-0.001816
5600;-126.656975;620.273804;-82709.218750;-11.582020;-7.078636;-4.286430;-0.001816
5800;-113.289803;583.233643;-38277.160156;-11.105339;-6.840248;-4.151478;-0.001816
6000;-101.982391;547.592468;-50639.496094;-10.684906;-6.636868;-4.036453;-0.001816
6200;-92.567833;522.213196;-44322.761719;-10.344360;-6.472012;-3.914804;-0.001816
6400;-84.597527;495.986786;-44017.679688;-10.079090;-6.335449;-3.808369;-0.001816
6600;-78.400757;476.761597;-52841.750000;-9.823307;-6.219875;-3.720451;-0.001816
6800;-73.188087;457.518738;-36075.203125;-9.607937;-6.130695;-3.646923;-0.001816
7000;-69.081741;443.047668;-36101.425781;-9.426212;-6.047134;-3.585594;-0.001816
7200;-65.852348;431.123749;-37730.187500;-9.261398;-5.970745;-3.535759;-0.001816
7400;-63.357094;421.885376;-35935.480469;-9.117752;-5.876053;-3.493034;-0.001816
7600;-61.229908;414.616058;-38677.941406;-8.988869;-5.791958;-3.451733;-0.001816
7800;-59.539730;408.255707;-29515.734375;-8.854347;-5.713711;-3.418114;-0.000847
8000;-58.217209;402.993408;-25793.033203;-8.746593;-5.651283;-3.389267;-0.000713
8200;-57.303886;400.731995;-57817.917969;-8.630161;-5.591129;-3.357521;-0.000713
8400;-56.433556;396.453522;-37960.968750;-8.527405;-5.534752;-3.331970;-0.000713
8600;-55.857761;394.215088;-38701.953125;-8.433365;-5.479553;-3.307030;-0.000698
8800;-55.173626;391.303558;-26241.160156;-8.349533;-5.429283;-3.284893;-0.000687
9000;-54.787880;390.457672;-29485.921875;-8.275860;-5.384094;-3.264286;-0.000687
9200;-54.176952;388.077637;-42579.828125;-8.206200;-5.337208;-3.241554;-0.000126
9400;-53.687092;386.141876;-46079.316406;-8.134430;-5.290672;-3.222733;-0.000126
9600;-53.687092;385.836731;-43213.050781;-8.065552;-5.250889;-3.203281;-0.000122
9800;-53.687092;384.748749;-24509.671875;-7.993980;-5.209965;-3.183121;-0.000122
10000;-53.687092;384.347839;-26751.896484;-7.918987;-5.174622;-3.163559;-0.000122
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-9812.326172;59469852.000000;48876916.000000;57776824.000000;59398944.000000;61032144.000000;69951248.000000
200;-3559.396729;12102827.000000;5613930.500000;10633930.000000;11864020.000000;13167410.000000;20625092.000000
400;11599.737305;1121398.750000;103912.265625;617440.562500;833402.187500;1264141.625000;4260627.000000
600;-4291.105957;183039.718750;36892.929688;123040.500000;156876.921875;199751.875000;852055.750000
800;-16161.296875;88082.187500;17993.642578;56426.921875;67055.562500;79701.906250;348363.906250
1000;14965.750000;45403.093750;4388.103027;47684.148438;56437.398438;66488.281250;197926.953125
1200;15148.361328;45483.421875;1296.370605;47687.437500;56655.441406;66824.507813;329194.781250
1400;16786.152344;45906.593750;1140.761230;48618.351563;58151.093750;68929.562500;265087.687500
1600;17406.003906;46354.355469;0.000000;48681.277344;58715.367188;70110.156250;259239.515625
1800;17097.666016;46723.738281;0.000000;48222.726563;58541.515625;70282.859375;316575.875000
2000;16734.193359;47107.593750;0.000000;47778.390625;58449.558594;70513.718750;248446.250000
2200;16202.002930;47556.453125;0.000000;47230.421875;58314.667969;70580.398438;375595.343750
2400;15461.278320;48096.355469;0.000000;46464.156250;58081.414063;70648.515625;286224.375000
2600;14152.443359;48603.714844;0.000000;45047.367188;57277.675781;70237.796875;279376.406250
2800;12590.251953;49156.183594;0.000000;43083.894531;56453.964844;69694.921875;266025.781250
3000;10594.067383;49786.871094;0.000000;40370.785156;55051.593750;68674.765625;279637.062500
3200;8219.510742;50208.070313;0.000000;36550.640625;53366.445313;67436.593750;347585.406250
3400;5346.474121;50594.589844;0.000000;30450.353516;50897.023438;65741.859375;241225.531250
3600;2261.930908;50898.578125;0.000000;22445.230469;47914.812500;63625.625000;241202.796875
3800;-1138.526611;51069.121094;0.000000;15149.245117;44077.539063;61256.578125;382953.437500
4000;-4575.030273;51066.003906;0.000000;11072.849609;39187.105469;58315.101563;334088.500000
4200;-8113.374512;50893.617188;0.000000;8711.843750;33008.621094;55034.273438;376091.656250
4400;-11632.024414;50492.660156;0.000000;7104.834961;26014.392578;51044.851563;232516.000000
4600;-15005.876953;50020.937500;0.000000;6008.639648;19171.269531;46591.164063;256498.468750
4800;-18236.826172;49362.066406;0.000000;5155.479492;14243.812500;41325.296875;244782.953125
5000;-21169.392578;48699.054688;0.000000;4540.539063;11321.181641;35629.609375;556100.562500
5200;19218.406250;21525.126953;0.000000;4048.543945;9579.900391;29107.734375;257501.703125
5400;16845.587891;19912.089844;0.000000;3637.614502;8320.932617;22974.152344;273951.906250
5600;14785.538086;18262.832031;0.000000;3358.911133;7390.160156;18154.058594;256845.921875
5800;13059.238281;16682.535156;0.000000;3139.504639;6759.735352;14951.767578;260865.578125
6000;11584.046875;15101.125000;0.000000;2928.165039;6259.942383;12832.996094;236313.500000
6200;10384.197266;13763.987305;0.000000;2756.923340;5855.714355;11451.195313;380650.750000
6400;9351.020508;12394.529297;0.000000;2635.099121;5529.806641;10490.302734;590999.125000
6600;8554.056641;11239.185547;0.000000;2518.159668;5304.791016;9839.847656;476918.312500
6800;7884.398926;9998.686523;0.000000;2441.539307;5141.874023;9294.117188;159417.562500
7000;7380.353516;9216.515625;0.000000;2363.532471;4969.326172;8884.555664;178623.656250
7200;6954.799805;8296.749023;0.000000;2299.637695;4870.682129;8603.511719;146355.187500
7400;6652.399902;7672.776855;0.000000;2248.563232;4763.754883;8401.341797;119761.601563
7600;6381.104004;7103.053711;0.000000;2225.352783;4668.235840;8180.546875;173086.437500
7800;6170.999512;6612.174316;0.000000;2168.510498;4596.291504;8052.393066;117820.046875
8000;6013.626465;6345.174316;0.000000;2138.920898;4544.732422;7907.478516;131545.046875
8200;5890.741211;6060.546875;0.000000;2098.674561;4495.293945;7818.084473;140182.109375
8400;5782.195801;5794.208984;0.000000;2115.470215;4461.847168;7743.319824;118737.453125
8600;5718.685547;5628.343262;0.000000;2093.470703;4457.026367;7683.439453;124407.750000
8800;5642.030762;5542.930664;0.000000;2047.165405;4404.706543;7618.553711;101856.539063
9000;5589.051758;5390.415039;0.000000;2055.088623;4369.351563;7573.720215;109316.765625
9200;5516.067871;5284.894531;0.000000;2012.921875;4341.224121;7533.186523;100841.820313
9400;5448.414063;5210.679199;0.000000;1996.628784;4300.644531;7449.093750;135379.156250
9600;5439.877930;5128.081543;0.000000;2006.895264;4304.750488;7434.216797;71488.390625
9800;5418.855469;5066.909180;0.000000;1998.002441;4313.284180;7431.948730;81995.398438
10000;5402.766602;5071.850098;0.000000;1990.956787;4291.228516;7398.975586;86943.351563
