Chromosome Length: 20
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.600000
Elitism Rate: 0.050000
Recombination Rate: 0.300000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-168.297409;35.556190;-365.875763;-198.057007;-173.955933;-150.601944;-27.174988
1000;-1.967178;0.993948;-25.481480;-2.477224;-1.817394;-1.331384;-0.142223
2000;-0.050678;0.411900;-16.373384;-0.367785;-0.230728;-0.161789;-0.020680
3000;-0.030266;0.316047;-11.918688;-0.146352;-0.069475;-0.047713;-0.005825
4000;-0.027847;0.305973;-10.798731;-0.100562;-0.028709;-0.019264;-0.002379
5000;-0.027661;0.305216;-10.236435;-0.099398;-0.014023;-0.009228;-0.001139
6000;-0.027427;0.305323;-14.604537;-0.102571;-0.007713;-0.004977;-0.000625
7000;-0.026726;0.302846;-14.948889;-0.103454;-0.004621;-0.002939;-0.000314
8000;-0.024614;0.296956;-11.995764;-0.100911;-0.002971;-0.001867;-0.000217
9000;-0.022879;0.289055;-9.576156;-0.096790;-0.002021;-0.001254;-0.000164
10000;-0.020400;0.277804;-13.519286;-0.090749;-0.001443;-0.000888;-0.000076
11000;-0.018072;0.266210;-10.473125;-0.083538;-0.001070;-0.000649;-0.000062
12000;-0.015820;0.254351;-11.270870;-0.076103;-0.000816;-0.000489;-0.000052
13000;-0.013916;0.243585;-9.038998;-0.069021;-0.000635;-0.000375;-0.000027
14000;-0.012296;0.233967;-12.207313;-0.061750;-0.000504;-0.000295;-0.000027
15000;-0.011018;0.226396;-10.147618;-0.056640;-0.000404;-0.000236;-0.000025
16000;-0.010073;0.219329;-15.693337;-0.051375;-0.000325;-0.000190;-0.000016
17000;-0.009337;0.213271;-11.185337;-0.046811;-0.000268;-0.000154;-0.000016
18000;-0.008684;0.208010;-7.743016;-0.042931;-0.000221;-0.000127;-0.000010
19000;-0.008350;0.204619;-8.325681;-0.039711;-0.000184;-0.000104;-0.000006
20000;-0.007911;0.200755;-8.421076;-0.036020;-0.000154;-0.000086;-0.000006
21000;-0.007676;0.198385;-18.219608;-0.033271;-0.000130;-0.000072;-0.000005
22000;-0.007470;0.196272;-14.152484;-0.030863;-0.000110;-0.000061;-0.000003
23000;-0.007276;0.193856;-9.493599;-0.028187;-0.000093;-0.000052;-0.000003
24000;-0.007094;0.191872;-9.786543;-0.025832;-0.000079;-0.000044;-0.000003
25000;-0.006948;0.190115;-8.875490;-0.023597;-0.000067;-0.000038;-0.000003
26000;-0.006928;0.189462;-12.830150;-0.021994;-0.000059;-0.000033;-0.000002
27000;-0.006898;0.188509;-9.024338;-0.020190;-0.000051;-0.000028;-0.000002
28000;-0.006753;0.187346;-11.343468;-0.018725;-0.000044;-0.000025;-0.000001
29000;-0.006793;0.187429;-10.673558;-0.017046;-0.000039;-0.000022;-0.000001
30000;-0.006659;0.186134;-12.732327;-0.015765;-0.000035;-0.000019;-0.000001
31000;-0.006756;0.185967;-14.725458;-0.014530;-0.000031;-0.000017;-0.000001
32000;-0.006643;0.185019;-11.459040;-0.013523;-0.000027;-0.000015;-0.000001
33000;-0.006609;0.184829;-13.296956;-0.012316;-0.000024;-0.000013;-0.000000
34000;-0.006594;0.184054;-8.464140;-0.011395;-0.000022;-0.000012;-0.000000
35000;-0.006648;0.184199;-8.440693;-0.010908;-0.000019;-0.000011;-0.000000
36000;-0.006591;0.183804;-9.488901;-0.010251;-0.000018;-0.000010;-0.000000
37000;-0.006605;0.183525;-10.304973;-0.009303;-0.000016;-0.000009;-0.000000
38000;-0.006541;0.183524;-7.861208;-0.008810;-0.000015;-0.000008;-0.000000
39000;-0.006607;0.183471;-8.415674;-0.008251;-0.000013;-0.000007;-0.000000
40000;-0.006512;0.182797;-9.726559;-0.007513;-0.000012;-0.000007;-0.000000
41000;-0.006592;0.183195;-10.166385;-0.007132;-0.000011;-0.000006;-0.000000
42000;-0.006533;0.182648;-8.974669;-0.006933;-0.000010;-0.000006;-0.000000
43000;-0.006603;0.183289;-11.826012;-0.006620;-0.000010;-0.000005;-0.000000
44000;-0.006545;0.182817;-8.630114;-0.006093;-0.000009;-0.000005;-0.000000
45000;-0.006593;0.183041;-8.423820;-0.005943;-0.000008;-0.000004;-0.000000
46000;-0.006535;0.182746;-8.818580;-0.005523;-0.000008;-0.000004;-0.000000
47000;-0.006625;0.182834;-9.075209;-0.005383;-0.000007;-0.000004;-0.000000
48000;-0.006526;0.182691;-8.533030;-0.005028;-0.000007;-0.000004;-0.000000
49000;-0.006536;0.182620;-14.729916;-0.004946;-0.000006;-0.000003;-0.000000
50000;-0.006665;0.183582;-14.227182;-0.004578;-0.000006;-0.000003;-0.000000
51000;-0.006544;0.183134;-10.926661;-0.004429;-0.000005;-0.000003;-0.000000
52000;-0.006669;0.183562;-13.774495;-0.004261;-0.000005;-0.000003;-0.000000
53000;-0.006628;0.182863;-8.331600;-0.004128;-0.000005;-0.000003;-0.000000
54000;-0.006551;0.182947;-9.824560;-0.004084;-0.000005;-0.000002;-0.000000
55000;-0.006698;0.183666;-9.136274;-0.003924;-0.000004;-0.000002;-0.000000
56000;-0.006660;0.183535;-13.020971;-0.003858;-0.000004;-0.000002;-0.000000
57000;-0.006741;0.183973;-8.553193;-0.003796;-0.000004;-0.000002;-0.000000
58000;-0.006723;0.183581;-9.052525;-0.003647;-0.000004;-0.000002;-0.000000
59000;-0.006648;0.183390;-8.454744;-0.003479;-0.000003;-0.000002;-0.000000
60000;-0.006663;0.183594;-9.152155;-0.003343;-0.000003;-0.000002;-0.000000
61000;-0.006706;0.183828;-9.031762;-0.003257;-0.000003;-0.000002;-0.000000
62000;-0.006724;0.184238;-8.247351;-0.003305;-0.000003;-0.000002;-0.000000
63000;-0.006731;0.184080;-12.362655;-0.003264;-0.000003;-0.000002;-0.000000
64000;-0.006706;0.183992;-8.818714;-0.003141;-0.000003;-0.000001;-0.000000
65000;-0.006663;0.183996;-11.420891;-0.003072;-0.000003;-0.000001;-0.000000
66000;-0.006691;0.184446;-11.805677;-0.003201;-0.000003;-0.000001;-0.000000
67000;-0.006793;0.184680;-8.873911;-0.003153;-0.000002;-0.000001;-0.000000
68000;-0.006693;0.184291;-9.256893;-0.003076;-0.000002;-0.000001;-0.000000
69000;-0.006741;0.184611;-9.829746;-0.003007;-0.000002;-0.000001;-0.000000
70000;-0.006731;0.184739;-14.421267;-0.002961;-0.000002;-0.000001;-0.000000
71000;-0.006787;0.184526;-8.301948;-0.003087;-0.000002;-0.000001;-0.000000
72000;-0.006748;0.184504;-9.292042;-0.002906;-0.000002;-0.000001;-0.000000
73000;-0.006766;0.185097;-9.059133;-0.003042;-0.000002;-0.000001;-0.000000
74000;-0.006876;0.185244;-9.820465;-0.002957;-0.000002;-0.000001;-0.000000
75000;-0.006815;0.185328;-8.043758;-0.002835;-0.000002;-0.000001;-0.000000
76000;-0.006779;0.185146;-7.906851;-0.003023;-0.000002;-0.000001;-0.000000
77000;-0.006819;0.185486;-8.538363;-0.002830;-0.000002;-0.000001;-0.000000
78000;-0.006849;0.185248;-8.595490;-0.002785;-0.000002;-0.000001;-0.000000
79000;-0.006750;0.185073;-15.465672;-0.002771;-0.000002;-0.000001;-0.000000
80000;-0.006802;0.185137;-8.574988;-0.002760;-0.000001;-0.000001;-0.000000
81000;-0.006778;0.185188;-10.908089;-0.002767;-0.000001;-0.000001;-0.000000
82000;-0.006824;0.185430;-8.679004;-0.002786;-0.000001;-0.000001;-0.000000
83000;-0.006929;0.186167;-9.863511;-0.002832;-0.000001;-0.000001;-0.000000
84000;-0.006819;0.185739;-12.114111;-0.002845;-0.000001;-0.000001;-0.000000
85000;-0.006777;0.185515;-9.625592;-0.002701;-0.000001;-0.000001;-0.000000
86000;-0.006840;0.185728;-12.945425;-0.002665;-0.000001;-0.000001;-0.000000
87000;-0.006827;0.185812;-7.197596;-0.002622;-0.000001;-0.000001;-0.000000
88000;-0.006853;0.186052;-10.305456;-0.002719;-0.000001;-0.000001;-0.000000
89000;-0.006858;0.185793;-8.952867;-0.002746;-0.000001;-0.000001;-0.000000
90000;-0.006810;0.185642;-8.173203;-0.002681;-0.000001;-0.000001;-0.000000
91000;-0.006820;0.185507;-7.470801;-0.002798;-0.000001;-0.000001;-0.000000
92000;-0.006897;0.186247;-8.287351;-0.002771;-0.000001;-0.000001;-0.000000
93000;-0.006955;0.186534;-12.116898;-0.002614;-0.000001;-0.000001;-0.000000
94000;-0.006853;0.186160;-8.169107;-0.002638;-0.000001;-0.000001;-0.000000
95000;-0.006946;0.186412;-10.701641;-0.002758;-0.000001;-0.000000;-0.000000
96000;-0.006927;0.186698;-10.927579;-0.002783;-0.000001;-0.000000;-0.000000
97000;-0.006921;0.186926;-9.517751;-0.002749;-0.000001;-0.000000;-0.000000
98000;-0.006909;0.186426;-11.344877;-0.002737;-0.000001;-0.000000;-0.000000
99000;-0.006897;0.186304;-8.605922;-0.002789;-0.000001;-0.000000;-0.000000
100000;-0.006860;0.186281;-7.960809;-0.002729;-0.000001;-0.000000;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;17303.445313;349.981750;15762.968750;17067.771484;17302.847656;17541.558594;18901.574219
1000;109.954514;37.016678;32.686703;84.238571;103.609818;128.537994;517.467041
2000;49.118221;10.366600;10.941503;42.270840;48.803314;55.905342;128.135971
3000;46.905739;9.796844;4.937192;40.529526;46.763977;53.476173;105.867905
4000;47.028332;9.965815;1.208319;40.625732;46.913719;53.679985;134.538086
5000;47.331150;10.281608;0.476310;40.845490;47.335526;54.195969;170.550690
6000;47.282669;10.681375;0.630471;40.843277;47.410675;54.346306;224.394348
7000;46.562611;11.316845;0.306018;40.026077;46.922806;54.050514;231.796967
8000;45.083759;11.951328;0.243435;38.329720;45.642670;52.982780;193.710312
9000;43.000290;12.576611;0.256754;35.844212;43.694176;51.374001;263.437103
10000;40.528938;12.967156;0.325479;32.902351;41.232750;49.327129;299.415619
11000;37.789478;13.119904;0.353250;29.719616;38.292385;46.725914;235.149277
12000;35.142281;12.981736;0.247643;26.815331;35.376057;43.955677;200.590073
13000;32.669331;12.793447;0.000000;24.382891;32.564049;41.111389;165.040009
14000;30.351740;12.475801;0.234193;22.197559;30.024269;38.455376;252.927490
15000;28.472151;12.180827;0.297707;20.559246;27.931829;36.186966;232.861969
16000;26.809570;11.870524;0.000000;19.171799;26.198320;34.049828;250.956345
17000;25.382629;11.600360;0.000000;17.934864;24.654179;32.273476;188.458725
18000;24.154989;11.388588;0.000000;16.966196;23.372627;30.664085;186.869873
19000;23.101561;11.269035;0.000000;15.989525;22.309654;29.466591;252.810593
20000;22.095261;11.102859;0.000358;15.153014;21.242201;28.251345;195.158035
21000;21.285801;10.955538;0.107577;14.464602;20.386089;27.195333;187.300095
22000;20.595579;10.878281;0.027809;13.904072;19.677597;26.323080;216.357330
23000;19.933380;10.845752;0.000000;13.284348;18.978901;25.490202;198.118546
24000;19.329830;10.757265;0.073859;12.719511;18.313942;24.814121;263.627075
25000;18.793640;10.742884;0.000000;12.240076;17.700470;24.135498;236.188965
26000;18.358271;10.772826;0.000000;11.838974;17.217346;23.518398;224.876038
27000;17.930189;10.711563;0.105493;11.494378;16.736498;22.978989;221.411072
28000;17.521151;10.672662;0.000000;11.110088;16.308113;22.498852;248.627045
29000;17.162760;10.729219;0.035011;10.773181;15.854296;22.051365;171.990906
30000;16.838779;10.651522;0.000000;10.497760;15.488541;21.616077;291.629150
31000;16.546160;10.804489;0.015042;10.203515;15.093241;21.143787;244.047455
32000;16.291651;10.760845;0.008811;10.004087;14.851871;20.868910;250.538193
33000;16.010790;10.732981;0.000000;9.764747;14.507040;20.472351;218.100464
34000;15.755700;10.713562;0.000000;9.543901;14.214235;20.181545;244.356354
35000;15.604190;10.802405;0.007549;9.418444;14.003335;19.901932;219.459885
36000;15.376460;10.680088;0.000000;9.234440;13.783673;19.651306;255.064957
37000;15.176090;10.763545;0.000000;9.084987;13.544115;19.298098;225.439178
38000;15.032380;10.789530;0.000000;8.973618;13.325990;19.031506;248.575272
39000;14.917080;10.815211;0.000000;8.829806;13.183977;18.932934;192.204834
40000;14.732830;10.794179;0.012692;8.692202;12.965303;18.672695;228.607330
41000;14.588620;10.781780;0.000000;8.559668;12.787781;18.443340;249.549240
42000;14.494380;10.698773;0.000000;8.520527;12.677540;18.340916;225.912674
43000;14.410960;10.739526;0.000000;8.448922;12.599774;18.170414;202.964920
44000;14.283750;10.758816;0.000000;8.345868;12.472370;17.941647;198.236816
45000;14.188990;10.794530;0.003340;8.306604;12.351838;17.836506;223.608337
46000;14.112080;10.910474;0.000000;8.152535;12.207316;17.702087;218.075943
47000;14.005610;10.821920;0.000000;8.111206;12.154591;17.510374;202.749954
48000;13.940360;10.797559;0.000000;8.056147;12.059832;17.386635;193.327988
49000;13.892860;10.878528;0.000000;8.034258;11.947783;17.320259;235.360626
50000;13.794960;10.883924;0.000000;7.952662;11.859121;17.183455;255.361542
51000;13.753350;10.787954;0.000000;7.906175;11.827340;17.183453;188.194855
52000;13.707590;10.897683;0.000000;7.842148;11.725101;17.086248;226.264420
53000;13.630360;10.823596;0.005950;7.819654;11.662560;16.959507;217.536880
54000;13.579440;10.844777;0.000000;7.773042;11.572242;16.870747;216.761627
55000;13.535450;10.911713;0.000000;7.711423;11.525122;16.741280;172.086502
56000;13.497190;10.858798;0.000000;7.747076;11.495104;16.683046;215.494766
57000;13.477170;10.931996;0.000000;7.700182;11.455340;16.617878;177.670502
58000;13.417320;10.941660;0.000000;7.659918;11.392185;16.494627;168.601212
59000;13.376570;11.019798;0.000000;7.579875;11.302421;16.458492;227.276291
60000;13.331700;10.911508;0.000000;7.578884;11.291126;16.399242;179.983612
61000;13.309570;10.959039;0.000000;7.548680;11.248570;16.358978;264.830627
62000;13.276680;10.989329;0.000000;7.487904;11.189287;16.299658;235.386169
63000;13.253920;10.975318;0.000000;7.494593;11.159945;16.317356;218.644058
64000;13.224890;10.994327;0.000000;7.480575;11.125736;16.200783;242.766708
65000;13.174980;10.999662;0.000000;7.461666;11.094029;16.090319;220.481430
