Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.800000
Elitism Rate: 0.050000
Recombination Rate: 0.300000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.050000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-85.663986;23.776812;-200.089691;-108.089020;-92.351402;-76.882523;-4.155994
1000;-20.014742;17.061762;-154.024902;-29.544422;-14.600227;-7.763561;-0.021229
2000;-9.887727;12.108478;-122.266228;-16.604242;-4.317799;-2.021845;-0.000107
3000;-8.009186;10.598197;-105.068558;-13.399998;-3.034897;-0.464592;-0.000008
4000;-7.412434;10.362151;-120.405510;-11.915028;-2.702034;-0.058228;-0.000000
5000;-6.678033;10.362151;-109.054672;-8.954409;-1.994987;-0.003883;-0.000000
6000;-4.946168;8.548883;-104.252899;-4.225098;-1.001785;-0.000511;-0.000000
7000;-3.335257;7.144445;-100.000694;-2.985210;-0.020588;-0.000214;-0.000000
8000;-2.212113;5.648103;-99.867004;-1.991714;-0.000679;-0.000145;-0.000000
9000;-1.677722;4.464481;-97.441528;-1.990494;-0.000484;-0.000126;-0.000000
10000;-1.442389;3.663574;-99.336784;-1.990265;-0.000427;-0.000118;-0.000000
11000;-1.292907;3.179102;-104.914680;-1.990173;-0.000401;-0.000114;-0.000000
12000;-1.207018;2.849962;-102.704803;-1.990128;-0.000385;-0.000114;-0.000000
13000;-1.158716;2.637121;-115.805496;-1.990105;-0.000378;-0.000111;-0.000000
14000;-1.129347;2.563611;-87.877708;-1.990086;-0.000370;-0.000107;-0.000000
15000;-1.114514;2.496874;-91.219360;-1.990078;-0.000366;-0.000107;-0.000000
16000;-1.109146;2.470254;-99.744041;-1.990070;-0.000359;-0.000107;-0.000000
17000;-1.102736;2.449833;-94.749069;-1.990067;-0.000359;-0.000107;-0.000000
18000;-1.096015;2.414463;-89.112854;-1.990059;-0.000355;-0.000107;-0.000000
19000;-1.094954;2.409204;-84.992325;-1.990059;-0.000351;-0.000103;-0.000000
20000;-1.092179;2.396611;-88.376984;-1.990051;-0.000347;-0.000103;-0.000000
21000;-1.090878;2.393611;-96.831223;-1.990051;-0.000343;-0.000103;-0.000000
22000;-1.089007;2.383287;-86.548203;-1.990044;-0.000343;-0.000099;-0.000000
23000;-1.087628;2.382048;-92.789375;-1.990044;-0.000340;-0.000099;-0.000000
24000;-1.084416;2.363372;-85.192291;-1.990040;-0.000336;-0.000099;-0.000000
25000;-1.081505;2.351959;-94.870544;-1.990036;-0.000332;-0.000099;-0.000000
26000;-1.080313;2.350070;-88.635788;-1.990036;-0.000328;-0.000099;-0.000000
27000;-1.080711;2.351675;-89.229462;-1.990032;-0.000328;-0.000099;-0.000000
28000;-1.081699;2.357658;-90.493484;-1.990032;-0.000328;-0.000095;-0.000000
29000;-1.077484;2.329868;-90.261658;-1.990028;-0.000320;-0.000095;-0.000000
30000;-1.076359;2.331561;-96.719849;-1.990025;-0.000320;-0.000095;-0.000000
31000;-1.075623;2.324367;-104.453369;-1.990021;-0.000317;-0.000095;-0.000000
32000;-1.074701;2.321807;-99.115036;-1.990021;-0.000313;-0.000092;-0.000000
