Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.150000
Crossover Probability: 0.600000
Elitism Rate: 0.150000
Recombination Rate: 0.000000
Additional Parameters:
-crossover_ratio: 0.250000
-gene_mutation_rate: 0.150000
-range_max: 5.120000
-range_min: -5.120000
-relative_mutation_size: 0.100000
-tournament_size: 2.000000


Test size: 100000
Snapshot Period: 1000
Evaluations: 50000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;-85.661423;23.766119;-196.095657;-108.065277;-92.345673;-76.867096;-2.796806
1000;-13.421773;12.226509;-123.428848;-16.334503;-10.902473;-7.688658;-0.136452
2000;-6.663061;7.015440;-104.084457;-6.782330;-4.170633;-2.754593;-0.001945
3000;-4.257368;6.084015;-102.262108;-3.687340;-2.232376;-1.275284;-0.000191
4000;-3.019612;5.423476;-94.527351;-2.139610;-1.143829;-0.328123;-0.000076
5000;-2.147321;5.076983;-87.580521;-1.137920;-0.298531;-0.069744;-0.000008
6000;-1.548472;4.948655;-93.571884;-0.805374;-0.077335;-0.023098;-0.000000
7000;-1.361171;4.858756;-86.184143;-0.117428;-0.032837;-0.009995;-0.000000
8000;-1.280612;4.815464;-84.595146;-0.056911;-0.017384;-0.005135;-0.000000
9000;-1.252709;4.805562;-88.644814;-0.034145;-0.010452;-0.002945;-0.000000
10000;-1.236678;4.795189;-92.195938;-0.022430;-0.006783;-0.001820;-0.000000
11000;-1.233396;4.796079;-92.107742;-0.015991;-0.004627;-0.001179;-0.000000
12000;-1.230498;4.790127;-93.831024;-0.011677;-0.003284;-0.000801;-0.000000
13000;-1.230376;4.791799;-96.071472;-0.008850;-0.002411;-0.000565;-0.000000
14000;-1.229622;4.787419;-93.354523;-0.006767;-0.001808;-0.000408;-0.000000
15000;-1.229022;4.790113;-83.437126;-0.005280;-0.001389;-0.000305;-0.000000
16000;-1.227070;4.780069;-82.273636;-0.004230;-0.001083;-0.000229;-0.000000
17000;-1.230592;4.793411;-78.824249;-0.003448;-0.000866;-0.000175;-0.000000
18000;-1.228914;4.786534;-90.086441;-0.002838;-0.000694;-0.000137;-0.000000
19000;-1.229760;4.791543;-89.856018;-0.002365;-0.000565;-0.000107;-0.000000
20000;-1.230289;4.790051;-95.152451;-0.001991;-0.000465;-0.000084;-0.000000
21000;-1.230209;4.793113;-92.531662;-0.001686;-0.000385;-0.000069;-0.000000
22000;-1.230207;4.788172;-92.413872;-0.001434;-0.000324;-0.000057;-0.000000
23000;-1.230343;4.788021;-88.763947;-0.001232;-0.000275;-0.000046;-0.000000
24000;-1.230578;4.791868;-91.028198;-0.001060;-0.000237;-0.000038;-0.000000
25000;-1.228890;4.786124;-97.407669;-0.000927;-0.000202;-0.000031;-0.000000
26000;-1.229880;4.791201;-87.676743;-0.000813;-0.000175;-0.000027;-0.000000
27000;-1.229337;4.786217;-86.987770;-0.000717;-0.000153;-0.000023;-0.000000
28000;-1.230112;4.791428;-91.331345;-0.000629;-0.000130;-0.000019;-0.000000
29000;-1.227084;4.787039;-89.022064;-0.000561;-0.000114;-0.000015;-0.000000
30000;-1.229848;4.791256;-90.242767;-0.000504;-0.000099;-0.000015;-0.000000
31000;-1.231471;4.790989;-84.894249;-0.000450;-0.000088;-0.000015;-0.000000
32000;-1.229289;4.789735;-83.807350;-0.000404;-0.000080;-0.000011;-0.000000
33000;-1.231995;4.796599;-90.057251;-0.000366;-0.000069;-0.000011;-0.000000
34000;-1.228238;4.785787;-98.743103;-0.000332;-0.000061;-0.000008;-0.000000
35000;-1.226775;4.782762;-96.545685;-0.000298;-0.000057;-0.000008;-0.000000
36000;-1.229164;4.788420;-81.517059;-0.000275;-0.000053;-0.000008;-0.000000
37000;-1.229268;4.791358;-82.409714;-0.000252;-0.000046;-0.000008;-0.000000
38000;-1.227475;4.785389;-94.356003;-0.000229;-0.000042;-0.000008;-0.000000
39000;-1.231565;4.792244;-92.775215;-0.000210;-0.000038;-0.000008;-0.000000
40000;-1.230243;4.791183;-85.114761;-0.000195;-0.000034;-0.000004;-0.000000
41000;-1.230765;4.792423;-94.945938;-0.000179;-0.000031;-0.000004;-0.000000
42000;-1.228899;4.788378;-94.882339;-0.000164;-0.000031;-0.000004;-0.000000
43000;-1.229780;4.792775;-93.452339;-0.000153;-0.000027;-0.000004;-0.000000
44000;-1.231026;4.792077;-86.525009;-0.000141;-0.000023;-0.000004;-0.000000
45000;-1.230259;4.788828;-89.596840;-0.000130;-0.000023;-0.000004;-0.000000
46000;-1.231224;4.794218;-93.923210;-0.000122;-0.000023;-0.000004;-0.000000
47000;-1.228361;4.788045;-90.994194;-0.000114;-0.000019;-0.000004;-0.000000
48000;-1.230280;4.790008;-88.447800;-0.000107;-0.000019;-0.000004;-0.000000
49000;-1.231366;4.793608;-96.055328;-0.000099;-0.000015;-0.000004;-0.000000
50000;-1.228690;4.786577;-83.597717;-0.000092;-0.000015;-0.000000;-0.000000
DIVERSITY STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
0;4324.485352;175.106995;3543.740723;4206.055664;4324.641113;4442.125000;5032.870117
1000;78.604019;103.723885;0.086981;11.849826;33.930252;107.732147;1260.242920
2000;16.431101;16.959265;0.002185;5.267374;11.430040;24.736618;538.832642
